DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.ajic.2020.06.216,Disinfection of N95 masks artificially contaminated with SARS-CoV-2 and ESKAPE bacteria using hydrogen peroxide plasma: impact on the reutilization of disposable devices,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320306398,Gabriela Ibáñez-Cervantes and Juan Carlos Bravata-Alcántara and Alan Steve Nájera-Cortés and Sergio Meneses-Cruz and Laura Delgado-Balbuena and Clemente Cruz-Cruz and Emilio Mariano Durán-Manuel and Monica Alethia Cureño-Díaz and Erika Gómez-Zamora and Sonia Chávez-Juárez and Oscar Sosa-Hernández and Antonio Aguilar-Rojas and Juan Manuel Bello-López,2020-05-11,2020-06-23,2020-07-06,44 days 00:00:00.000000000,{'Mexico'}
https://doi.org/10.1016/j.ajic.2020.06.204,An agent-based modeling approach to estimate pathogen exposure risks from wheelchairs,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320305861,Amanda M. Wilson and Marc P. Verhougstraete and Curtis J. Donskey and Kelly A. Reynolds,2020-04-25,2020-06-23,2020-06-27,60 days 00:00:00.000000000,"{'unknown', 'United States'}"
https://doi.org/10.1016/j.ajic.2020.05.020,The impact of novel coronavirus SARS-CoV-2 among healthcare workers in hospitals: An aerial overview,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320303163,Boqi Xiang and Peining Li and Xinhui Yang and Shuyi Zhong and Anne Manyande and Maohui Feng,2020-04-30,2020-05-20,2020-05-26,21 days 00:00:00.000000000,"{'Canada', 'China', 'United Kingdom', 'Spain'}"
https://doi.org/10.1016/j.ajic.2020.03.003,Non-ventilator health care-associated pneumonia (NV-HAP): Putting it all together,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320301267,Linda R. Greene,2020-02-28,2020-03-02,2020-03-02,4 days 00:00:00.000000000,{'Kenya'}
https://doi.org/10.1016/j.ajic.2020.07.009,The Impact of Healthcare Provider Relationships and Communication Dynamics on Urinary Tract Infection Management and Antibiotic Utilization for Long-Term Care Facility Residents Treated in the Emergency Department: A Qualitative Study,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320306957,Luke Carmichael Valmadrid and Rebecca J. Schwei and Elizabeth Maginot and Michael S. Pulia,2020-05-14,2020-07-07,2020-07-09,55 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.ajic.2020.06.180,Molecular surveillance of methicillin-resistant Staphylococcus aureus genomes in hospital unexpectedly reveals discordance between temporal and genetic clustering,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320305587,Rebecca Rose and David J. Nolan and Samual Moot and Christopher Rodriguez and Sissy Cross and Yvette S. McCarter and Chad Neilsen and Susanna L. Lamers,2020-04-13,2020-06-11,2020-06-18,60 days 00:00:00.000000000,"{'Uruguay', ""Lao People's Democratic Republic""}"
https://doi.org/10.1016/j.ajic.2020.06.203,Design and evaluation of a portable negative pressure hood with HEPA filtration to protect health care workers treating patients with transmissible respiratory infections,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S019665532030585X,Hai-Thien Phu and Yensil Park and Austin J. Andrews and Ian Marabella and Asish Abraham and Reid Mimmack and Bernard A. Olson and Jonathan Chaika and Eugene Floersch and Mojca Remskar and Janet R. Hume and Gwenyth A. Fischer and Kumar Belani and Christopher J. Hogan,2020-05-13,2020-06-23,2020-06-27,42 days 00:00:00.000000000,{'Mongolia'}
https://doi.org/10.1016/j.ajic.2020.05.027,Environmental contamination of SARS-CoV-2 during the COVID-19 outbreak in South Korea,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320303448,Byung-Han Ryu and Younghwa Cho and Oh-Hyun Cho and Sun In Hong and Sunjoo Kim and Seungjun Lee,2020-04-27,2020-06-01,2020-06-01,36 days 00:00:00.000000000,"{""Korea, Democratic People's Republic of""}"
https://doi.org/10.1016/j.ajic.2020.07.014,Epidemiological characteristics of the COVID-19 outbreak in a secondary hospital in Spain,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320307008,Christine Giesen and Laura Diez-Izquierdo and Carmen María Saa-Requejo and Inmaculada Lopez-Carrillo and Carmen Alejandra Lopez-Vilela and Alicia Seco-Martinez and María Teresa Ramirez Prieto and Eduardo Malmierca and Cristina Garcia-Fernandez,,,2030-12-12,,
https://doi.org/10.1016/j.ajic.2020.05.003,Environmental contamination by SARS-CoV-2 in a designated hospital for coronavirus disease 2019,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320302753,Songjie Wu and Ying Wang and Xuelan Jin and Jia Tian and Jianzhong Liu and Yiping Mao,,,2030-12-12,,
