DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.ajp.2020.102083,"Study of knowledge, attitude, anxiety & perceived mental healthcare need in Indian population during COVID-19 pandemic",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301945,Deblina Roy and Sarvodaya Tripathy and Sujita Kumar Kar and Nivedita Sharma and Sudhir Kumar Verma and Vikas Kaushal,2020-04-01,2020-04-03,2020-04-08,3 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102284,Comment on psychological interventions during COVID-19: Challenges for Iraqi Kurdistan,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303968,Arthur Saniotis and Kazhaleh Mohammadi,2020-05-09,2020-07-02,2020-07-11,55 days 00:00:00.000000000,"{'Australia', 'Iraq'}"
https://doi.org/10.1016/j.ajp.2020.102187,"Lived experiences of the corona survivors (patients admitted in COVID wards): A narrative real-life documented summaries of internalized guilt, shame, stigma, anger",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302999,Swapnajeet Sahoo and Aseem Mehra and Vikas Suri and Pankaj Malhotra and Lakshmi Narayana Yaddanapudi and Goverdhan Dutt Puri and Sandeep Grover,2020-04-22,2020-05-28,2020-05-30,37 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102071,Impact of COVID-19 pandemic on pre-existing mental health problems,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301829,Seshadri Sekhar Chatterjee and Malathesh Barikar C and Abir Mukherjee,2020-05-17,2020-06-01,2020-06-03,16 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/j.ajp.2020.102249,The heterogeneity of grief in India during coronavirus disease 2019 (COVID-19) and the national lockdown,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303610,Vasundharaa S. Nair and Debanjan Banerjee,2020-05-11,2020-06-16,2020-06-30,37 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102176,The role of mental health services during the COVID-19 outbreak in China,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302884,Chuanyuan Kang and Jun Tong and Fu Meng and Qiang Feng and Hong Ma and Chuan Shi and Jing Yuan and Shuran Yang and Liang Liu and Li Xu and YingJun Xi and Wentian Li and Xudong Zhao and Jianzhong Yang,2020-04-29,2020-05-15,2020-05-19,17 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ajp.2020.102153,Online mental health services in Indonesia during the COVID-19 outbreak,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302641,Ifdil Ifdil and Rima Pratiwi Fadli and Kadek Suranata and Nilma Zola and Zadrian Ardi,2020-04-15,2020-04-30,2020-05-05,16 days 00:00:00.000000000,{'Indonesia'}
https://doi.org/10.1016/j.ajp.2020.102205,China’s experience on mental health in response to the COVID-19 pandemic,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303178,Bin Yan and Guohui Nie and Yeen Huang,2020-05-01,2020-06-09,2020-06-12,40 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ajp.2020.102257,An evolving problem—Mental health symptoms among health care workers during COVID-19 pandemic,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303695,Adeolu Oladunjoye and Olubunmi Oladunjoye,2020-06-16,2020-06-17,2020-06-23,2 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.ajp.2020.102089,Sentiment analysis of nationwide lockdown due to COVID 19 outbreak: Evidence from India,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302008,Gopalkrishna Barkur and  Vibha and Giridhar B. Kamath,2020-04-05,2020-04-06,2020-04-12,2 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102245,"How COVID-19 may impact mental health research conduct, interpretation and priorities?",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303579,Siddharth Sarkar and Shree Mishra and Susanta Kumar Padhy,2020-06-14,2020-06-15,2020-06-18,2 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102015,Rethinking online mental health services in China during the COVID-19 epidemic,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S187620182030126X,Hao Yao and Jian-Hua Chen and Yi-Feng Xu,2020-04-07,2020-04-13,2020-04-17,7 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102072,The fight against COVID-19 and the restoration of trust in Chinese medical professionals,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301830,Yiqun Gan and Yidi Chen and Cheng Wang and Carl Latkin and Brian J. Hall,2020-04-01,2020-04-02,2020-04-09,2 days 00:00:00.000000000,"{'United States', 'China'}"
https://doi.org/10.1016/j.ajp.2020.102221,Theoretical orientation of a range of psychological approaches to address mental health concerns during the COVID-19 pandemic,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303336,Shijo John Joseph and André Pereira Gonçalves and Ankita Paul and Samrat Singh Bhandari,2020-06-08,2020-06-11,2020-06-18,4 days 00:00:00.000000000,"{'India', 'Brazil'}"
https://doi.org/10.1016/j.ajp.2020.102273,Mental health implications of COVID-19 on children with disabilities,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303853,Khushboo Patel,2020-05-22,2020-06-29,2020-07-02,39 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.ajp.2020.102217,Mental health among COVID-19 survivors: Are we overlooking the biological links?,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303294,Vikas Menon and Susanta Kumar Padhy,2020-05-03,2020-06-10,2020-06-12,39 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.101990,Iranian mental health during the COVID-19 epidemic,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820300988,Atefeh Zandifar and Rahim Badrfam,2020-04-28,2020-04-30,2020-05-12,3 days 00:00:00.000000000,"{'Spain', 'Lithuania', 'North Macedonia', 'unknown', 'New Zealand', 'Japan', 'South Africa', 'United Kingdom', 'Canada', 'Switzerland', 'United States', 'Iran, Islamic Republic of', 'Italy', 'Portugal', 'Israel', 'Australia', 'Hungary', 'Germany'}"
https://doi.org/10.1016/j.ajp.2020.102152,Handling the COVID-19 pandemic: Proposing a community based toolkit for psycho-social management and preparedness,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S187620182030263X,Debanjan Banerjee and Vasundharaa S. Nair,2020-04-14,2020-04-30,2020-05-07,17 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102261,Maternal mental health amidst the COVID-19 pandemic,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303737,Naureen Akber Ali and Anam Shahil Feroz,2020-06-14,2020-06-17,2020-06-20,4 days 00:00:00.000000000,{'Pakistan'}
https://doi.org/10.1016/j.ajp.2020.102102,Covid-19 lock down: People psychology due to law enforcement,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302136,R. Varalakshmi and R. Swetha,2020-04-12,2020-04-13,2020-04-17,2 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102154,‘Age and ageism in COVID-19’: Elderly mental health-care vulnerabilities and needs,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302653,Debanjan Banerjee,2020-06-03,2020-06-07,2020-06-13,5 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102073,First COVID-19 suicide case in Bangladesh due to fear of COVID-19 and xenophobia: Possible suicide prevention strategies,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301842,Mohammed A. Mamun and Mark D. Griffiths,2020-04-01,2020-04-02,2020-04-07,2 days 00:00:00.000000000,"{'United Kingdom', 'Bangladesh'}"
https://doi.org/10.1016/j.ajp.2020.102222,COVID-19 and stigma: Social discrimination towards frontline healthcare providers and COVID-19 recovered patients in Nepal,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820303348,Rakesh Singh and Madhusudan Subedi,2020-06-08,2020-06-11,2020-06-13,4 days 00:00:00.000000000,{'Nepal'}
https://doi.org/10.1016/j.ajp.2020.102114,A crisis for elderly with mental disorders: Relapse of symptoms due to heightened anxiety due to COVID-19,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302252,Aseem Mehra and Seema Rani and Swapnajeet Sahoo and Shaheena Parveen and Ajay Pal Singh and Subho Chakrabarti and Sandeep Grover,2020-04-08,2020-04-15,2020-04-18,8 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102080,Mental health of medical workers in Pakistan during the pandemic COVID-19 outbreak,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S187620182030191X,Waleed Rana and Sonia Mukhtar and Shamim Mukhtar,2030-12-12,2030-12-12,2030-12-12,,"{'Pakistan', 'Slovenia'}"
