DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.cegh.2020.05.013,COVID-19 and balance in access to health care in Ethiopia,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301524,Zemzem Shigute and Anagaw Derseh Mebratie and Getnet Alemu and Arjun S. Bedi,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.003,"The heterogeneous age-mixing model of estimating the covid cases of different local government units in the National Capital Region, Philippines",Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301603,Ricardo Laurio Dizon,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.004,When COVID-19 will decline in India? Prediction by combination of recovery and case load rate,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301615,Atanu Bhattacharjee and Mukesh Kumar and Kamalesh Kumar Patel,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.006,Forecasting COVID-19 epidemic in India and high incidence states using SIR and logistic growth models,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301639,B. Malavika and S. Marimuthu and Melvin Joy and Ambily Nadaraj and Edwin Sam Asirvatham and L. Jeyaseelan,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.009,Public perception and preparedness for the pandemic COVID 19: A Health Belief Model approach,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301664,Regi Jose and Meghana Narendran and Anil Bindu and Nazeema Beevi and Manju L and P.V. Benny,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.07.003,"Impact of Coronavirus disease-19 (COVID-19) lockdown on physical activity and energy expenditure among physiotherapy professionals and students using web-based open E-survey sent through WhatsApp, Facebook and Instagram messengers",Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301731,Adarsh Kumar Srivastav and Neha Sharma and Asir John Samuel,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.010,Psycho-social factors associated with the nationwide lockdown in India during COVID- 19 pandemic,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301676,Nilima Nilima and Siddharth Kaushik and Bhaskar Tiwary and Piyush Kant Pandey,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.012,Modelling of reproduction number for COVID-19 in India and high incidence states,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S221339842030169X,S. Marimuthu and Melvin Joy and B. Malavika and Ambily Nadaraj and Edwin Sam Asirvatham and L. Jeyaseelan,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.04.019,"Epidemiology and phylogenetic analysis of respiratory viruses from 2012 to 2015 – A sentinel surveillance report from union territory of Puducherry, India",Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301159,Nandhini Palani and Sujatha Sistla,2020-02-28,2020-04-22,2020-04-28,55 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.cegh.2020.07.004,Modelling of Reproduction number for COVID-19 in India and high incidence states,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301743,Hom Nath Dhunagna and Saroj Ghimire,,,2030-12-12,,
