DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.cegh.2020.04.021,Impact of clinical pharmacist managed patient counselling on the knowledge and adherence to antiepileptic drug therapy,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301172,Dilip Chandrasekhar and Swetha P. Mohanlal and Abel C. Mathew and P.K Muhammed Hashik,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.03.024,Risk factors for gestational diabetes mellitus: A prospective case-control study from coastal Karnataka,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420300919,Surabhi Mishra and Avinash Shetty and Chythra R. Rao and Sathisha Nayak and Asha Kamath,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.03.025,Factors influencing adherence to anti-diabetes medications among type 2 diabetes patients attending tertiary care hospitals in Mangaluru,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420300920,Rekha Thapar and Ramesh Holla and Nithin Kumar and Shodhan Aithal and Sahana Karkera and Chaitra Rao and Nikhita Pujari and Ayshath Zahida and Bhaskaran Unnikrishnan and Prasanna Mithra and Darshan K. Swamy and Vaman Kulkarni and Darshan Bhagawan and Avinash Kumar,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.02.026,Role of umbilical cord arterial pH and lactate in newborn assessment of term antenatal women with hypertensive disorders of pregnancy,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420300646,Naina Kumar and Ashu Yadav,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.06.004,When COVID-19 will decline in India? Prediction by combination of recovery and case load rate,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301615,Atanu Bhattacharjee and Mukesh Kumar and Kamalesh Kumar Patel,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.03.021,Assessment and projection of burden of cancer due to tobacco in India till 2025,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420300889,Jang Bahadur Prasad and Murali Dhar,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.07.002,"Prevalence and predictors of asthma, tuberculosis and chronic bronchitis among male tannery workers: A study of Kanpur City, India",Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S221339842030172X,Gyan Chandra Kashyap and Santosh Kumar Sharma and Shri Kant Singh,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.03.013,"The prevalence, epidemiology and screening results of breast cancer in women of Guilan province, north of Iran: A cross-sectional study during 2017–2018",Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420300804,Milad Nasrollahzadeh and Mohammad Sadegh Esmaeili Delshad and Roya Mansour-Ghanaei and Zahra Maleki and Farahnaz Joukar and Soheil Hassanipour and Mohammad-Javad Khosousi and Fariborz Mansour-Ghanaei,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.05.018,Self-medication practices with antibiotics among nursing students: A cross-sectional descriptive survey at tertiary care teaching hospital in Uttarakhand,Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301573,Kshitiza Sharma and Suresh K. Sharma and Rakhi Gaur and Shiv K. Mudgal and Pratima Gupta and Maneesh Sharma,,,2030-12-12,,
https://doi.org/10.1016/j.cegh.2020.04.009,Socio-economic inequality and spatial heterogeneity in anaemia among children in India: Evidence from NFHS-4 (2015–16),Clinical Epidemiology and Global Health,article,http://www.sciencedirect.com/science/article/pii/S2213398420301056,Himani Sharma and S.K. Singh and Shobhit Srivastava,,,2030-12-12,,
