DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.dsx.2020.06.050,A wave of non-communicable diseases following the COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302198,Michael Anthonius Lim and Ian Huang and Emir Yonas and Rachel Vania and Raymond Pranata,2020-06-12,2020-06-24,2020-06-26,13 days 00:00:00.000000000,{'Indonesia'}
https://doi.org/10.1016/j.dsx.2020.06.042,Impact of COVID-19 on routine care for chronic diseases: A global survey of views from healthcare professionals,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302113,Yogini V. Chudasama and Clare L. Gillies and Francesco Zaccardi and Briana Coles and Melanie J. Davies and Samuel Seidu and Kamlesh Khunti,2020-06-16,2020-06-19,2020-06-23,4 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.dsx.2020.04.049,COVID-19 and diabetes mellitus: An unholy interaction of two pandemics,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301144,Rimesh Pal and Sanjay K. Bhadada,2020-04-28,2020-04-30,2020-05-06,3 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.07.039,Fighting infodemic: Need for robust health journalism in India,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302873,D.C. Sharma and Dr Abhishek Pathak and Dr Rameshwar Nath Chaurasia and Dr Deepika Joshi and Dr Rajesh Kumar Singh and Dr Vijay Nath Mishra,,,2030-12-12,,
https://doi.org/10.1016/j.dsx.2020.06.065,Effect of photobiomodulation on serum neuron specific enolase (NSE) among patients with diabetic peripheral neuropathy – A pilot study,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302356,Anju M. and Saleena Ummer V and Arun G. Maiya and Manjunath Hande and Binu V.S.,2019-12-23,2020-06-28,2020-06-30,189 days 00:00:00.000000000,"{'Slovenia', 'India'}"
https://doi.org/10.1016/j.dsx.2020.05.035,Psychosocial impact of COVID-19,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301545,Souvik Dubey and Payel Biswas and Ritwik Ghosh and Subhankar Chatterjee and Mahua Jana Dubey and Subham Chatterjee and Durjoy Lahiri and Carl J. Lavie,2020-05-24,2020-07-16,2020-07-16,54 days 00:00:00.000000000,{'Serbia'}
https://doi.org/10.1016/j.dsx.2020.06.038,"Stress, glucocorticoid signaling pathway, and metabolic disorders",Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302071,Roldan M. de Guia,2019-10-28,2020-01-19,2020-01-20,84 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.dsx.2020.07.027,Established and novel gender dimorphisms in type 2 diabetes mellitus: Insights from a multiethnic cohort,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302757,Michel P. Hermans and Sylvie A. Ahn and Shaukat Sadikot and Michel F. rousseau,,,2030-12-12,,
https://doi.org/10.1016/j.dsx.2020.07.005,"Association of hypertension, diabetes, stroke, cancer, kidney disease, and high-cholesterol with COVID-19 disease severity and fatality: A systematic review",Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302514,Nazar Zaki and Hany Alashwal and Sahar Ibrahim,2020-06-23,2020-07-03,2020-07-08,11 days 00:00:00.000000000,"{'United States', 'United Arab Emirates'}"
https://doi.org/10.1016/j.dsx.2020.06.001,A novel peer-to-peer contact tracking application for COVID-19 and future pandemics,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301703,Nolan J. Brown,2020-05-27,2020-06-01,2020-06-04,6 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.dsx.2020.05.047,Relationship between COVID-19 and obesity,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S187140212030165X,Timur Ekiz and Ahmet Cemal Pazarlı,2020-06-10,2020-07-09,2020-07-18,30 days 00:00:00.000000000,{'Brazil'}
https://doi.org/10.1016/j.dsx.2020.05.045,Projections for COVID-19 pandemic in India and effect of temperature and humidity,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301673,Kuldeep Goswami and Sulaxana Bharali and Jiten Hazarika,2020-05-16,2020-05-29,2020-06-05,14 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.067,Differential mortality in COVID-19 patients from India and western countries,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302368,Vijay Kumar Jain and Karthikeyan Iyengar and Abhishek Vaish and Raju Vaishya,2020-06-04,2020-06-29,2020-07-02,26 days 00:00:00.000000000,"{'United Kingdom', 'India'}"
https://doi.org/10.1016/j.dsx.2020.07.016,Impact of lockdown in COVID 19 on glycemic control in patients with type 1 Diabetes Mellitus,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302642,Anjali Verma and Rajesh Rajput and Surender Verma and Vikas K.B. Balania and Babita Jangra,2020-07-01,2020-07-10,2020-07-13,10 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.043,Improvement in Angiotensin 1-7 precedes and correlates with improvement in Arterial stiffness and endothelial function following Renin-Angiotensin system inhibition in type 2 diabetes with newly diagnosed hypertension,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302125,Prachi Srivastava and Smriti Badhwar and Dinu S. Chandran and Ashok Kumar Jaryal and Viveka P. Jyotsna and Kishore Kumar Deepak,2020-03-06,2020-06-19,2020-06-23,106 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.014,Application of cognitive Internet of Medical Things for COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301831,Swati Swayamsiddha and Chandana Mohanty,2020-05-29,2020-06-08,2020-06-11,11 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.054,Role of corticosteroid in the management of COVID-19: A systemic review and a Clinician’s perspective,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S187140212030223X,Awadhesh Kumar Singh and Sujoy Majumdar and Ritu Singh and Anoop Misra,,,2030-12-12,,
https://doi.org/10.1016/j.dsx.2020.05.012,Challenges of diabetes care management in developing countries with a high incidence of COVID-19: A brief report,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301314,Sedigheh Nouhjah and Shayesteh Jahanfar,2020-04-17,2020-05-05,2020-05-19,19 days 00:00:00.000000000,"{'United States', 'Iran, Islamic Republic of'}"
https://doi.org/10.1016/j.dsx.2020.06.041,Effectiveness of customized insoles on maximum plantar pressure in diabetic foot syndrome: A systematic review,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302083,Hrishikesh Korada and Arun Maiya and Sharath Kumar Rao and Manjunath Hande,2020-03-23,2020-06-18,2020-07-04,88 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.055,Anti-hyperglycemic effect of the immature endosperm of sugar palm (Borassus flabellifer) fruit on type 2 diabetes mellitus patients-a case study,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302241,Shaikh Shahinur Rahman and Nilufar Yasmin and Md Kamruzzaman and Md Rezwanul Islam and Md Rezaul Karim and Shakh MA. Rouf,,,2030-12-12,,
https://doi.org/10.1016/j.dsx.2020.05.008,A review of modern technologies for tackling COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301272,Aishwarya Kumar and Puneet Kumar Gupta and Ankita Srivastava,2020-04-25,2020-05-04,2020-05-07,10 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.07.006,Prevalence of hypogonadism in patients with type 2 diabetes mellitus among the Indian population,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302526,Biswas Anupam and Channabasappa Shivaprasad and Sarathi Vijaya and Atluri Sridevi and Yalamanchi Aiswarya and Kumar Nikhil,2030-12-12,2030-12-12,2030-12-12,,"{'Sao Tome and Principe', 'India'}"
https://doi.org/10.1016/j.dsx.2020.06.031,Effects of garlic supplementation on serum inflammatory markers: A systematic review and meta-analysis of randomized controlled trials,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302009,Farhang Mirzavandi and Mehdi Mollahosseini and Amin Salehi-Abargouei and Elham makiabadi and Hassan Mozaffari-Khosravi,2019-10-08,2020-06-15,2020-06-19,252 days 00:00:00.000000000,"{'Iran, Islamic Republic of'}"
https://doi.org/10.1016/j.dsx.2020.06.026,Association of serum regenerating islet-derived protein 3-beta and oncostatin-M levels with the risk of acute coronary syndrome in patients with type 2 diabetes mellitus – A pilot study,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301958,Midhuna K and Prashant S. Adole and Kolar V. Vinod and N. Balamurugan,2020-04-10,2020-06-13,2020-06-18,65 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.013,Metabolic dysfunction associated fatty liver disease increases risk of severe Covid-19,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S187140212030182X,Praveen Sharma and Ashish Kumar,2020-05-31,2020-06-08,2020-06-10,9 days 00:00:00.000000000,{'India'}
