DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.jhin.2020.07.003,Presence of Clostridioides difficile and multidrug resistant healthcare-associated pathogens in stool specimens from hospitalized patients in the United States,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303315,Isabella A. Tickler and Caitlin M. dela Cruz and Anne E. Obradovich and Richard V. Goering and Scott Dewell and Victoria M. Le and Fred C. Tenover and Julie Anderson and Niaz Banaei and Matthew Bankowski and Jamie Lynne Dill and Amanda T. Harrington and Mary Ann Henthorne and J. Stacey Klutts and Terrie Koyamatsu and Rose Overcast and Violeta J. Rekasius and Albert Rojtman,2020-05-11,2020-07-03,2020-07-07,54 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.jhin.2020.06.005,Incidence and characteristics of nosocomial influenza in a country with low vaccine coverage,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302905,D. Luque-Paz and C. Pronier and B. Bayeh and S. Jouneau and C. Grolhier and A. Le Bot and F. Bénézit and V. Thibault and P. Tattevin,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2019.12.011,Can environmental contamination be explained by particular traits associated with patients?,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670119305328,B. Pilmis and T. Billard-Pomares and M. Martin and C. Clarempuy and C. Lemezo and C. Saint-Marc and N. Bourlon and D. Seytre and E. Carbonnelle and J-R. Zahar,2019-07-31,2019-12-12,2019-12-20,135 days 00:00:00.000000000,{'France'}
https://doi.org/10.1016/j.jhin.2020.02.012,Impact of colonization pressure on acquisition of extended-spectrum β-lactamase-producing Enterobacterales and meticillin-resistant Staphylococcus aureus in two intensive care units: a 19-year retrospective surveillance,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120300608,S. Jolivet and I. Lolom and S. Bailly and L. Bouadma and B. Lortat-Jacob and P. Montravers and L. Armand-Lefevre and J-F. Timsit and J-C. Lucet,2019-11-28,2020-02-15,2020-02-22,80 days 00:00:00.000000000,{'France'}
https://doi.org/10.1016/j.jhin.2020.06.030,Autoclave sterilization and ethanol treatment of re-used surgical masks and N95 respirators during COVID-19: impact on their performance and integrity,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303157,S.A. Grinshpun and M. Yermakov and M. Khodoun,2020-05-10,2020-06-22,2020-06-26,44 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.jhin.2019.12.004,A protracted iGAS outbreak in a long-term care facility 2014–2015: control measures and the use of whole-genome sequencing,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670119304992,S. Degala and R. Puleston and R. Bates and R. Borges-Stewart and J. Coelho and G. Kapatai and V. Chalker and J. Mair-Jenkins,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2020.02.008,Handrubbing with sprayed alcohol-based hand rub: an alternative method for effective hand hygiene,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120300566,J.B.X. Tan and M.E.A. de Kraker and D. Pires and H. Soule and D. Pittet,2019-12-01,2020-02-10,2020-02-14,72 days 00:00:00.000000000,"{'Switzerland', 'Singapore'}"
https://doi.org/10.1016/j.jhin.2020.04.014,The effectiveness of germicidal wipes and ultraviolet irradiation in reducing bacterial loads on electronic tablet devices used to obtain patient information in orthopaedic clinics: evaluation of tablet cleaning methods,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301894,E.M. Allen and M.F. McTague and C.P. Bay and J.G. Esposito and A. von Keudell and M.J. Weaver,2020-02-29,2020-04-07,2020-04-11,39 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.jhin.2020.05.032,Evidence for decontamination of single-use filtering facepiece respirators,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302632,A. Polkinghorne and J. Branley,2030-12-12,2030-12-12,2020-07-02,,{'unknown'}
https://doi.org/10.1016/j.jhin.2020.07.004,Economic analysis of healthcare-associated infection prevention and control interventions in medical and surgical units: Systematic review using a discounting approach,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303327,Eric Tchouaket Nguemeleu and Idrissa Beogo and Drissa Sia and Kelley Kilpatrick and Catherine Séguin and Aurélie Baillot and Mira Jabbour and Natasha Parisien and Stephanie Robins and Sandra Boivin,2020-04-23,2020-07-03,2020-07-08,72 days 00:00:00.000000000,{'Canada'}
https://doi.org/10.1016/j.jhin.2020.04.007,"Investigation of hospital-onset meticillin-resistant Staphylococcus aureus bloodstream infections at eight high-burden acute care facilities in the USA, 2016",Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301821,D.C. Ham and I. See and S. Novosad and M. Crist and G. Mahon and L. Fike and K. Spicer and P. Talley and A. Flinchum and M. Kainer and A.J. Kallen and M.S. Walters,,,2030-12-12,,
