DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.jinf.2020.03.033,Clinical and CT imaging features of 2019 novel coronavirus disease (COVID-19),Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320301614,Ying Zhu and Zhen-Hua Gao and Yang-Li Liu and Dan-Yang Xu and Tian-Ming Guan and Zi-Ping Li and Jian-Yi Kuang and Xiang-Min Li and You-You Yang and Shi-Ting Feng,2020-05-31,2020-07-10,2020-07-21,41 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.jinf.2020.07.002,"A comparison of mortality-related risk factors of COVID-19, SARS, and MERS: A systematic review and meta-analysis",Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304606,Lvliang Lu and Wenyu Zhong and Ziwei Bian and Zhiming Li and Ke Zhang and Boxuan Liang and Yizhou Zhong and Manjiang Hu and Li Lin and Jun Liu and Xi Lin and Yuji Huang and Junying Jiang and Xingfen Yang and Xin Zhang and Zhenlie Huang,2020-04-30,2020-07-01,2020-07-04,63 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.jinf.2020.04.019,Dynamics of anti-SARS-Cov-2 IgM and IgG antibodies among COVID-19 patients,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320302309,Yu-Lin Lee and Chia-Hung Liao and Po-Yu Liu and Chien-Yu Cheng and Ming-Yi Chung and Chun-Eng Liu and Sui-Yuan Chang and Po-Ren Hsueh,2020-05-09,2020-06-01,2020-06-15,24 days 00:00:00.000000000,"{'Taiwan, Province of China'}"
https://doi.org/10.1016/j.jinf.2020.06.023,Four point-of-care lateral flow immunoassays for diagnosis of COVID-19 and for assessing dynamics of antibody responses to SARS-CoV-2,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304047,Jhong-Lin Wu and Wen-Pin Tseng and Chien-Hao Lin and Tai-Fen Lee and Ming-Yi Chung and Chien-Hua Huang and Shey-Ying Chen and Po-Ren Hsueh and Shyr-Chyr Chen,2020-05-09,2020-06-01,2020-06-15,24 days 00:00:00.000000000,"{'Taiwan, Province of China'}"
https://doi.org/10.1016/j.jinf.2020.06.051,Diagnostic accuracy of the FebriDx host response point-of-care test in patients hospitalised with suspected COVID-19,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304321,Tristan W. Clark and Nathan J Brendish and Stephen Poole and Vasanth V. Naidu and Christopher Mansbridge and Nicholas Norton and Helen Wheeler and Laura Presland and Sean Ewings,2020-06-12,2020-06-20,2020-06-21,9 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.jinf.2020.03.006,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: A prospective contact-tracing study,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320301171,Lei Huang and Xiuwen Zhang and Xinyue Zhang and Zhijian Wei and Lingli Zhang and Jingjing Xu and Peipei Liang and Yuanhong Xu and Chengyuan Zhang and Aman Xu,,,2030-12-12,,
https://doi.org/10.1016/j.jinf.2020.05.075,Does type of immunosupression influence the course of Covid-19 infection?,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320303510,J. Razanamahery and T. Soumagne and S. Humbert and A.S. Brunel and Q. Lepiller and E. Daguindau and L. Mansi and C. Chirouze and K. Bouiller,2020-05-23,2020-05-30,2020-06-03,8 days 00:00:00.000000000,"{'unknown', 'France'}"
https://doi.org/10.1016/j.jinf.2020.05.046,Co-infections in people with COVID-19: a systematic review and meta-analysis,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320303236,Louise Lansbury and Benjamin Lim and Vadsala Baskaran and Wei Shen Lim,2030-12-12,2030-12-12,2020-07-10,,"{'United Kingdom', 'Australia', 'Netherlands', 'Germany'}"
https://doi.org/10.1016/j.jinf.2020.05.017,Impacts of immunosuppression and immunodeficiency on COVID-19: A systematic review and meta-analysis,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320302942,Ya Gao and Yamin Chen and Ming Liu and Shuzhen Shi and Jinhui Tian,2020-05-02,2020-05-10,2020-05-15,9 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.jinf.2020.06.063,REPLY TO: Interleukin-17: a potential therapeutic target in COVID-19,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304448,Stefano Piaserico and Alberto Meneguzzo and Francesco Messina,2020-06-24,2020-06-26,2020-06-29,3 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/j.jinf.2020.03.018,Wuhan and Hubei COVID-19 mortality analysis reveals the critical role of timely supply of medical resources,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320301456,Zuqin Zhang and Wei Yao and Yan Wang and Cheng Long and Xinmiao Fu,2020-03-10,2020-03-14,2020-03-21,5 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.jinf.2020.03.005,Clinical features of COVID-19 in elderly patients: A comparison with young and middle-aged patients,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S016344532030116X,Kai Liu and Ying Chen and Ruzheng Lin and Kunyuan Han,,,2030-12-12,,
https://doi.org/10.1016/j.jinf.2020.05.041,"Co-infection of SARS-CoV-2 and Influenza virus in Early Stage of the COVID-19 Epidemic in Wuhan, China",Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320303194,Xin Zheng and Hua Wang and Zhengyuan Su and Wei Li and Dongliang Yang and Fei Deng and Jianjun Chen,2020-05-20,2020-05-21,2020-05-28,2 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.jinf.2020.04.006,Clinical characteristics and prognosis in cancer patients with COVID-19: A single center's retrospective study,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320302140,Jia Ma and Jing Yin and Yu Qian and Yuan Wu,2020-04-06,2020-04-08,2020-04-14,3 days 00:00:00.000000000,{'China'}
