DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.mehy.2020.109866,Zinc Iodide in combination with Dimethyl Sulfoxide for treatment of SARS-CoV-2 and other viral infections,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S030698772030503X,Ba X. Hoang and Huy Q. Hoang and Bo Han,2020-03-21,2020-05-21,2020-05-23,62 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.mehy.2020.109759,A data-driven hypothesis on the epigenetic dysregulation of host metabolism by SARS coronaviral infection: Potential implications for the SARS-CoV-2 modus operandi,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720305600,George D. Vavougios,2020-03-28,2020-04-21,2020-04-23,25 days 00:00:00.000000000,{'Greece'}
https://doi.org/10.1016/j.mehy.2020.109947,"Nebulized Lidocaine in COVID-19, An Hypothesis",Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720312937,Ziad A. Ali and Rif S. El-Mallakh,2020-05-13,2020-05-30,2020-06-01,18 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.mehy.2020.109865,Hypothesis for the management and treatment of the COVID-19-induced acute respiratory distress syndrome and lung injury using mesenchymal stem cell-derived exosomes,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720311208,Mahsa Taghavi-Farahabadi and Mohammad Mahmoudi and Sara Soudi and Seyed Mahmoud Hashemi,2020-05-03,2020-05-21,2020-05-22,19 days 00:00:00.000000000,"{'Iran, Islamic Republic of'}"
https://doi.org/10.1016/j.mehy.2020.109762,The powerful immune system against powerful COVID-19: A hypothesis,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720304874,Farzad Taghizadeh-Hesary and Hassan Akbari,2020-03-20,2020-04-21,2020-04-22,33 days 00:00:00.000000000,"{'Iran, Islamic Republic of'}"
https://doi.org/10.1016/j.mehy.2020.109826,Etoposide-based therapy for severe forms of COVID-19,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720308951,Kamel Hamizi and Souhila Aouidane and Ghania Belaaloui,2020-04-19,2020-05-07,2020-05-08,19 days 00:00:00.000000000,{'Algeria'}
https://doi.org/10.1016/j.mehy.2020.109980,Occult SARS-CoV-2 infection; a possible hypothesis for viral relapse,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720313475,Mostafa H. Elberry and Hussien Ahmed,2020-05-17,2020-06-05,2020-06-08,20 days 00:00:00.000000000,{'Egypt'}
https://doi.org/10.1016/j.mehy.2020.110117,Kawasaki-like disease in children with COVID-19: A hypothesis,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720317278,Hamideh Amirfakhryan,2020-05-20,2020-06-12,2020-06-12,24 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.mehy.2020.109878,Selenium supplementation in the prevention of coronavirus infections (COVID-19),Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S030698772031104X,Marek Kieliszek and Boguslaw Lipinski,2030-12-12,2030-12-12,2020-07-12,,"{'Italy', 'Brazil', 'Canada'}"
https://doi.org/10.1016/j.mehy.2020.109957,Is hesperidin essential for prophylaxis and treatment of COVID-19 Infection?,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S030698772031358X,Yusuf A. Haggag and Nahla E. El-Ashmawy and Kamal M. Okasha,2020-05-16,2020-06-04,2020-06-06,20 days 00:00:00.000000000,{'Egypt'}
https://doi.org/10.1016/j.mehy.2020.109871,Survival of COVID-19 patients requires precise immune regulation: The hypothetical immunoprotective role of nicotinic agonists,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720304643,M. Allahverdi Khani and M. SalehiRad and S. Darbeheshti and M. Motaghinejad,2020-03-18,2020-05-21,2020-05-23,65 days 00:00:00.000000000,"{'Iran, Islamic Republic of'}"
https://doi.org/10.1016/j.mehy.2020.109779,"SARS – CoV-2: Reasons of epidemiology of severe ill disease cases and therapeutic approach using trivalent vaccine (tetanus, diphtheria and Bordetella pertussis)",Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720304242,Giuseppe Ietto,2020-03-13,2020-04-21,2020-04-22,40 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/j.mehy.2020.109786,Loop mediated isothermal amplification (LAMP) assays as a rapid diagnostic for COVID-19,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S030698772030596X,Junaid Kashir and Ahmed Yaqinuddin,2030-12-12,2030-12-12,2020-07-08,,{'Andorra'}
https://doi.org/10.1016/j.mehy.2020.110116,Prior infection with intestinal coronaviruses moderates symptom severity and mortality in patients with COVID-19: A hypothesis and preliminary evidence,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720321642,Ravi Philip Rajkumar,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110039,SARS-CoV-2 and the sympathetic immune response: Dampening inflammation with antihypertensive drugs (Clonidine and Propranolol),Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720314274,Sanjiv K Hyoju and Olga Zaborina and Harry van Goor,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110083,The hypothesis that SARS-CoV-2 affects male reproductive ability by regulating autophagy,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720318910,Jun Sun,2020-06-22,2020-07-04,2020-07-10,13 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.mehy.2020.110089,EMMPRIN/BASIGIN as a biological modulator of oral cancer and COVID-19 interaction: Novel propositions,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720319721,Saranya Varadarajan and Thodur Madapusi Balaji and Sachin C. Sarode and Gargi S. Sarode and Nilesh K. Sharma and Shailesh Gondivkar and Amol Gadbail and Shankargouda Patil,2020-06-26,2020-07-05,2020-07-09,10 days 00:00:00.000000000,"{'Saudi Arabia', 'Slovenia', 'India'}"
https://doi.org/10.1016/j.mehy.2020.110102,SARS-CoV-2 infection pathogenesis is related to oxidative stress as a response to aggression,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720317540,Rubens Cecchini and Alessandra Lourenço Cecchini,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110054,Doxycycline or minocycline may be a viable treatment option against SARS-CoV-2,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720319046,Edoardo Francini and Salvatora T. Miano and Anna I. Fiaschi and Guido Francini,2020-04-15,2020-07-13,2020-07-19,90 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.mehy.2020.110074,Is the presence of lung injury in COVID-19 an independent risk factor for secondary lung cancer?,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720317266,Shao-Lin Tao and Xue-mei Wang and Yong-geng Feng and Po-ming Kang and Qing-yuan Li and Tian-yu Sun and Qun-you Tan and Bo Deng,2020-06-13,2020-07-01,2020-07-03,19 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.mehy.2020.109783,Hydroxychloroquine as an aerosol might markedly reduce and even prevent severe clinical symptoms after SARS-CoV-2 infection,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720307076,A. Klimke and G. Hefner and B. Will and U. Voss,2020-05-01,2020-06-12,2020-06-19,43 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.mehy.2020.109918,COVID-19-related complications and decompression illness share main features.: Could the SARS-CoV2-related complications rely on blood foaming?,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720311841,Pierre A. Denis,2020-06-06,2020-06-27,2020-07-03,22 days 00:00:00.000000000,{'unknown'}
