DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S2214-109X(19)30488-7,Global burden of cancer attributable to infections in 2018: a worldwide incidence analysis,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19304887,Catherine de Martel and Damien Georges and Freddie Bray and Jacques Ferlay and Gary M Clifford,2019-07-30,2019-11-07,2019-12-17,101 days 00:00:00.000000000,{'France'}
https://doi.org/10.1016/S2214-109X(19)30464-4,Uncrewed aircraft systems versus motorcycles to deliver laboratory samples in west Africa: a comparative economic study,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19304644,Walter O Ochieng and Tun Ye and Christina Scheel and Aun Lor and John Saindon and Sue Lin Yee and Martin I Meltzer and Vikas Kapil and Kevin Karem,2019-04-17,2019-10-16,2019-10-16,183 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S2214-109X(19)30440-1,Anaemia among men in India: a nationally representative cross-sectional study,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19304401,Oliver Didzun and Jan-Walter De Neve and Ashish Awasthi and Manisha Dubey and Michaela Theilmann and Till Bärnighausen and Sebastian Vollmer and Pascal Geldsetzer,2019-05-16,2019-09-25,2019-09-25,133 days 00:00:00.000000000,"{'Germany', 'unknown', 'India'}"
https://doi.org/10.1016/S2214-109X(19)30545-5,Global burden of respiratory infections associated with seasonal influenza in children under 5 years in 2018: a systematic review and modelling study,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19305455,Xin Wang and You Li and Katherine L O'Brien and Shabir A Madhi and Marc-Alain Widdowson and Peter Byass and Saad B Omer and Qalab Abbas and Asad Ali and Alberta Amu and Eduardo Azziz-Baumgartner and Quique Bassat and W Abdullah Brooks and Sandra S Chaves and Alexandria Chung and Cheryl Cohen and Marcela Echavarria and Rodrigo A Fasce and Angela Gentile and Aubree Gordon and Michelle Groome and Terho Heikkinen and Siddhivinayak Hirve and Jorge H Jara and Mark A Katz and Najwa Khuri-Bulos and Anand Krishnan and Oscar de Leon and Marilla G Lucero and John P McCracken and Ainara Mira-Iglesias and Jennifer C Moïsi and Patrick K Munywoki and Millogo Ourohiré and Fernando P Polack and Manveer Rahi and Zeba A Rasmussen and Barbara A Rath and Samir K Saha and Eric AF Simões and Viviana Sotomayor and Somsak Thamthitiwat and Florette K Treurnicht and Marylene Wamukoya and Lay-Myint Yoshida and Heather J Zar and Harry Campbell and Harish Nair and Harish Nair and Harry Campbell and Xin Wang and You Li and Alexandria Chung and Manveer Rahi and Qalab Abbas and Asad Ali and Zulfiqar A Bhutta and Bushra Saeed and Sajid B Soofi and Mohammad Tahir Yousafzai and Anita K Zaidi and Alberta Amu and Elizabeth Awini and Eduardo Azziz-Baumgartner and Henry C Baggett and Sandra S Chaves and Nong Shang and Stephanie J Schrag and Marc-Alain Widdowson and Stefano Tempia and Quique Bassat and Miguel Lanaspa and Sozinho Acácio and W Abdullah Brooks and Amanda Driscoll and Maria Deloria Knoll and Katherine L O'Brien and Christine Prosperi and Abdullah H Baqui and Luke Mullany and Peter Byass and Cheryl Cohen and Anne von Gottberg and Orienka Hellferscee and Florette K Treurnicht and Sibongile Walaza and Doli Goswami and Mustafizur Rahman and Nicholas E Connor and Shams El Arifeen and Marcela Echavarria and Débora N Marcone and Noelia Reyes and Andrea Gutierrez and Ivan Rodriguez and Olga Lopez and David Ortiz and Nathaly Gonzalez and Angela Gentile and Maria del Valle Juarez and Aubree Gordon and Clare Cutland and Michelle Groome and Shabir A Madhi and Marta C Nunes and Susan Nzenze and Terho Heikkinen and Siddhivinayak Hirve and Sanjay Juvekar and Natasha Halasa and Jorge H Jara and Chris Bernart and Mark A Katz and Ilan Gofer and Yonat Shemer Avni and Najwa Khuri-Bulos and Samir Faori and Asem Shehabi and Anand Krishnan and Rakesh Kumar and Ritvik Amarchand and Carmen L Contreras and Oscar de Leon and Maria R Lopez and John P McCracken and Herberth Maldonado and Antonio P Samayoa and Ana B Gomez and Marilla G Lucero and Leilani T Nillos and Socorro P Lupisan and Hanna Nohynek and Ainara Mira-Iglesias and Joan Puig-Barberà and Javier Díez-Domingo and Bradford D Gessner and Berthe-Marie Njanpop-Lafourcade and Jennifer C Moïsi and Haoua Tall and Patrick K Munywoki and Mwanjuma Ngama and D James Nokes and Saad B Omer and Dayna R Clark and Millogo Ourohiré and Sié Ali and Zabré Pascal and Bagagnan H Cheik and Mauricio T Caballero and Romina Libster and Fernando P Polack and Zeba A Rasmussen and Elizabeth D Thomas and Julia M Baker and Barbara A Rath and Patrick E Obermeier and MD. Hassanuzzaman and Maksuda Islam and Mohammad S Islam and Samir K Saha and Pinaki Panigrahi and Anuradha Bose and Rita Isaac and David Murdoch and Pritish Nanda and Shamim A Qazi and Danielle Hessong and Eric AF Simőes and Viviana Sotomayor and Somsak Thamthitiwat and Malinee Chittaganpitch and Halima Dawood and Catherine Kyobutungi and Marylene Wamukoya and Abdhalah K Ziraba and Lay-Myint Yoshida and Keisuke Yoshihara and Duc-Anh Dand and Minh-Nhat Le and Mark P Nicol and Heather J Zar and Shobha Broor and Mandeep Chadha and Lola Madrid and Lionel Gresh and Angel Balmaseda and Guillermina Kuan and Niteen Wairagkar and Milagritos D Tapia and Stacey L Knobler and Alfredo Barahona and Ericka Ferguson and Brunhilde Schweiger,2019-09-16,2019-12-13,2020-02-20,89 days 00:00:00.000000000,"{'Argentina', 'India', 'Guatemala', 'Chile', 'United Kingdom', 'Jordan', 'Kenya', 'Finland', 'Spain', 'Japan', 'Pakistan', 'United States', 'South Africa', 'Sweden', 'France', 'Bangladesh', 'Thailand', 'Philippines', 'Burkina Faso', 'Germany', 'Belgium', 'Ghana'}"
https://doi.org/10.1016/S2214-109X(19)30448-6,"Estimates of the global population of children who are HIV-exposed and uninfected, 2000–18: a modelling study",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19304486,Amy L Slogrove and Kathleen M Powis and Leigh F Johnson and John Stover and Mary Mahy,2019-06-28,2019-10-04,2019-11-29,99 days 00:00:00.000000000,"{'United States', 'South Africa', 'Switzerland', 'Botswana'}"
https://doi.org/10.1016/S2214-109X(20)30046-2,"Prevalence of diabetes in pregnancy among Indigenous women in Australia, Canada, New Zealand, and the USA: a systematic review and meta-analysis",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20300462,Britt Voaklander and Stewart Rowe and Omolara Sanni and Sandra Campbell and Dean Eurich and Maria B Ospina,2019-07-10,2020-02-05,2020-02-05,211 days 00:00:00.000000000,{'Canada'}
https://doi.org/10.1016/S2214-109X(20)30127-3,"Physical multimorbidity, health service use, and catastrophic health expenditure by socioeconomic groups in China: an analysis of population-based panel data",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301273,Yang Zhao and Rifat Atun and Brian Oldenburg and Barbara McPake and Shenglan Tang and Stewart W Mercer and Thomas E Cowling and Grace Sum and Vicky Mengqi Qin and John Tayu Lee,2019-08-30,2020-03-30,2020-03-30,214 days 00:00:00.000000000,"{'Australia', 'United States', 'Singapore', 'United Kingdom', 'China'}"
https://doi.org/10.1016/S2214-109X(20)30305-3,Delays in hospital admissions for patients with fractures – Authors' reply,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20303053,Panthea Pouramin and Jason Busse and Mohit Bhandari,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30034-6,"Performance of late pregnancy biometry for gestational age dating in low-income and middle-income countries: a prospective, multicountry, population-based cohort study from the WHO Alliance for Maternal and Newborn Health Improvement (AMANHI) Study Group",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20300346,Saikat Deb and Mohammad Said Mohammed and Usha Dhingra and Arup Dutta and Syed Mohammed Ali and Pratibha Dixit and Mohammed Hamad Juma and Massoud Juma Hassan and Sunil Sazawal and Imran Nisar and Muhammad Ilyas and Usma Mehmood and Farzana Kausar and Shamim Jaweed and Muhammad Karim and Atiya Hussain and Naila Nadeem and Fyezah Jehan and Sayedur Rahman and Nasreen Islam and Ruksana Azad and Syed Mamum Ibne Moin and Mahmoodur Rahman and Salahuddin Ahmed and Abdul Quiayum and Rasheda Khanam and Abdullah H. Baqui and Sachido Yoshida and Alexander Manu and Rajiv Bahl and Anne CC Lee and Mariam Naqvi and Lauren E. Schaeffer and Rachel Whelan and Blair J. Wylie,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30288-6,"Potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria in low-income and middle-income countries: a modelling study",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302886,Alexandra B Hogan and Britta L Jewell and Ellie Sherrard-Smith and Juan F Vesga and Oliver J Watson and Charles Whittaker and Arran Hamlet and Jennifer A Smith and Peter Winskill and Robert Verity and Marc Baguelin and John A Lees and Lilith K Whittles and Kylie E C Ainslie and Samir Bhatt and Adhiratha Boonyasiri and Nicholas F Brazeau and Lorenzo Cattarino and Laura V Cooper and Helen Coupland and Gina Cuomo-Dannenburg and Amy Dighe and Bimandra A Djaafara and Christl A Donnelly and Jeff W Eaton and Sabine L van Elsland and Richard G FitzJohn and Han Fu and Katy A M Gaythorpe and William Green and David J Haw and Sarah Hayes and Wes Hinsley and Natsuko Imai and Daniel J Laydon and Tara D Mangal and Thomas A Mellan and Swapnil Mishra and Gemma Nedjati-Gilani and Kris V Parag and Hayley A Thompson and H Juliette T Unwin and Michaela A C Vollmer and Caroline E Walters and Haowei Wang and Yuanrong Wang and Xiaoyue Xi and Neil M Ferguson and Lucy C Okell and Thomas S Churcher and Nimalan Arinaminpathy and Azra C Ghani and Patrick G T Walker and Timothy B Hallett,2020-05-18,2020-06-18,2020-07-13,32 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/S2214-109X(20)30236-9,Quality of care and maternal mortality in a tertiary-level hospital in Mozambique: a retrospective study of clinicopathological discrepancies,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302369,Clara Menéndez and Llorenç Quintó and Paola Castillo and Fabiola Fernandes and Carla Carrilho and Mamudo R Ismail and Cesaltina Lorenzoni and Juan Carlos Hurtado and Natalia Rakislova and Khátia Munguambe and Cinta Moraleda and Maria Maixenchs and Eusebio Macete and Inacio Mandomando and Miguel J Martínez and Pedro L Alonso and Quique Bassat and Jaume Ordi,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30005-X,"Estimates of aid for reproductive, maternal, newborn, and child health: findings from application of the Muskoka2 method, 2002–17",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X2030005X,Antonia Dingle and Marco Schäferhoff and Josephine Borghi and Miriam Lewis Sabin and Leonardo Arregoces and Melisa Martinez-Alvarez and Catherine Pitt,2019-06-13,2020-01-06,2020-02-05,208 days 00:00:00.000000000,"{'Germany', 'Switzerland', 'United Kingdom'}"
https://doi.org/10.1016/S2214-109X(20)30264-3,"Global, regional, and national estimates of the population at increased risk of severe COVID-19 due to underlying health conditions in 2020: a modelling study",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302643,Andrew Clark and Mark Jit and Charlotte Warren-Gash and Bruce Guthrie and Harry H X Wang and Stewart W Mercer and Colin Sanderson and Martin McKee and Christopher Troeger and Kanyin L Ong and Francesco Checchi and Pablo Perel and Sarah Joseph and Hamish P Gibbs and Amitava Banerjee and Rosalind M Eggo and Emily S Nightingale and Kathleen O'Reilly and Thibaut Jombart and W John Edmunds and Alicia Rosello and Fiona Yueqian Sun and Katherine E Atkins and Nikos I Bosse and Samuel Clifford and Timothy W Russell and Arminder K Deol and Yang Liu and Simon R Procter and Quentin J Leclerc and Graham Medley and Gwen Knight and James D Munday and Adam J Kucharski and Carl A B Pearson and Petra Klepac and Kiesha Prem and Rein M G J Houben and Akira Endo and Stefan Flasche and Nicholas G Davies and Charlie Diamond and Kevin van Zandvoort and Sebastian Funk and Megan Auzenbergs and Eleanor M Rees and Damien C Tully and Jon C Emery and Billy J Quilty and Sam Abbott and Ch Julian Villabona-Arenas and Stéphane Hué and Joel Hellewell and Amy Gimma and Christopher I Jarvis,2020-04-13,2020-05-29,2020-06-15,47 days 00:00:00.000000000,"{'China', 'United States', 'United Kingdom'}"
https://doi.org/10.1016/S2214-109X(20)30062-0,Prediction of dementia risk in low-income and middle-income countries (the 10/66 Study): an independent external validation of existing models,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20300620,Blossom C M Stephan and Eduwin Pakpahan and Mario Siervo and Silvan Licher and Graciela Muniz-Terrera and Devi Mohan and Daisy Acosta and Guillermina Rodriguez Pichardo and Ana Luisa Sosa and Isaac Acosta and Juan J Llibre-Rodriguez and Martin Prince and Louise Robinson and Matthew Prina,2019-10-07,2020-02-10,2020-02-10,127 days 00:00:00.000000000,"{'Dominican Republic', 'Netherlands', 'Malaysia', 'United Kingdom', 'Cuba', 'Mexico'}"
https://doi.org/10.1016/S2214-109X(20)30240-0,Net benefit and cost-effectiveness of universal iron-containing multiple micronutrient powders for young children in 78 countries: a microsimulation study,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302400,Sant-Rayn Pasricha and Adrian Gheorghe and Fayrouz Sakr-Ashour and Amrita Arcot and Lynnette Neufeld and Laura E Murray-Kolb and Parminder S Suchdev and Michael Bode,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30090-5,Use of the six core surgical indicators from the Lancet Commission on Global Surgery in Colombia: a situational analysis,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20300905,Joseph S Hanna and Gabriel E Herrera-Almario and Monica Pinilla-Roncancio and David Tulloch and Sergio A Valencia and Marlena E Sabatino and Charles Hamilton and Shahyan U Rehman and Ardi Knobel Mendoza and Liliana Carolina Gómez Bernal and María Fernanda Moreno Salas and María Alejandra Peña Navarro and Rachel Nemoyer and Michael Scott and Mariana Pardo-Bayona and Andres M Rubiano and Mauricio Vasco Ramirez and Darío Londoño and Ivan Dario-Gonzalez and Vicente Gracias and Gregory L Peck,2019-06-26,2020-03-02,2020-03-02,251 days 00:00:00.000000000,"{'United States', 'Colombia'}"
https://doi.org/10.1016/S2214-109X(20)30292-8,Epidemiology of carotid atherosclerosis in Africa: a blind spot,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302928,Joseph Kamtchum-Tatuene,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30074-7,Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20300747,Joel Hellewell and Sam Abbott and Amy Gimma and Nikos I Bosse and Christopher I Jarvis and Timothy W Russell and James D Munday and Adam J Kucharski and W John Edmunds and Fiona Sun and Stefan Flasche and Billy J Quilty and Nicholas Davies and Yang Liu and Samuel Clifford and Petra Klepac and Mark Jit and Charlie Diamond and Hamish Gibbs and Kevin van Zandvoort and Sebastian Funk and Rosalind M Eggo,2030-12-12,2030-12-12,2030-12-12,,{'Argentina'}
https://doi.org/10.1016/S2214-109X(19)30546-7,"Effectiveness of post-partum family planning interventions on contraceptive use and method mix at 1 year after childbirth in Kinshasa, DR Congo (Yam Daabo): a single-blind, cluster-randomised controlled trial",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19305467,Nguyen Toan Tran and Armando Seuc and Béatrice Tshikaya and Maurice Mutuale and Sihem Landoulsi and Brigitte Kini and Bernadette Mbu Nkolomonyi and Jean Nyandwe Kyloka and Félicité Langwana and Asa Cuzin-Kihl and James Kiarie and Mary Eluned Gaffield and Rachel Yodi and Désiré Mashinda Kulimba,2019-06-27,2019-12-04,2020-01-17,161 days 00:00:00.000000000,"{'Australia', 'Switzerland', 'Congo'}"
https://doi.org/10.1016/S2214-109X(19)30425-5,Premature mortality in children aged 6–9 years with neurological impairments in rural Kenya: a cohort study,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19304255,Jonathan A Abuga and Symon M Kariuki and Samson M Kinyanjui and Michaël Boele Van Hensbroek and Charles RJC Newton,2019-03-17,2019-09-12,2019-10-22,180 days 00:00:00.000000000,"{'Netherlands', 'Kenya', 'United Kingdom'}"
https://doi.org/10.1016/S2214-109X(20)30316-8,Headway and hindrances for sexual and reproductive health and rights,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20303168, The Lancet Global Health,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30069-3,Mortality and recurrent vascular events after first incident stroke: a 9-year community-based study of 0·5 million Chinese adults,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20300693,Yiping Chen and Neil Wright and Yu Guo and Iain Turnbull and Christiana Kartsonaki and Ling Yang and Zheng Bian and Pei Pei and Dongxia Pan and Yidan Zhang and Haiqiang Qin and Yilong Wang and Jun Lv and Ming Liu and Zilong Hao and Yongjun Wang and Canqing Yu and Richard Peto and Rory Collins and Liming Li and Robert Clarke and Zhengming Chen and Yiping Chen and Neil Wright and Yu Guo and Iain Turnbull and Christiana Kartsonaki and Ling Yang and Zheng Bian and Pei Pei and Dongxia Pan and Yidan Zhang and Haiqiang Qin and Yilong Wang and Jun Lv and Ming Liu and Zilong Hao and Yongjun Wang and Canqing Yu and Richard Peto and Rory Collins and Liming Li and Robert Clarke and Zhengming Chen and Junshi Chen and Robin Walters and Daniel Avery and Derrick Bennett and Ruth Boxall and Fiona Bragg and Yumei Chang and Huaidong Du and Simon Gilbert and Alex Hacker and Michael Holmes and Rene Kerosi and Garry Lancaster and Kuang Lin and John McDonnell and Iona Millwood and Qunhua Nie and Paul Ryder and Sam Sansome and Dan Schmidt and Rajani Sohoni and Jenny Wang and Lin Wang and Xiaoming Yang and Xiao Han and Can Hou and Biao Jing and Chao Liu and Zengchang Pang and Ruqin Gao and Shanpeng Li and Shaojie Wang and Yongmei Liu and Ranran Du and Yajing Zang and Liang Cheng and Xiaocao Tian and Hua Zhang and Yaoming Zhai and Feng Ning and Xiaohui Sun and Feifei Li and Silu Lv and Junzheng Wang and Wei Hou and Mingyuan Zeng and Ge Jiang and Xue Zhou and Liqiu Yang and Hui He and Bo Yu and Yanjie Li and Qinai Xu and Quan Kang and Ziyan Guo and Dan Wang and Ximin Hu and Hongmei Wang and Jinyan Chen and Yan Fu and Zhenwang Fu and Xiaohuan Wang and Min Weng and Zhendong Guo and Shukuan Wu and Yilei Li and Huimei Li and Zhifang Fu and Ming Wu and Yonglin Zhou and Jinyi Zhou and Ran Tao and Jie Yang and Jian Su and Fang Liu and Jun Zhang and Yihe Hu and Yan Lu and Liangcai Ma and Aiyu Tang and Shuo Zhang and Jianrong Jin and Jingchao Liu and Zhenzhu Tang and Naying Chen and Ying Huang and Mingqiang Li and Jinhuai Meng and Rong Pan and Qilian Jiang and Jian Lan and Yun Liu and Liuping Wei and Ningyu Chen and Ping Wang and Fanwen Meng and Yulu Qin and Sisi Wang and Xianping Wu and Ningmei Zhang and Xiaofang Chen and Weiwei Zhou and Guojin Luo and Jianguo Li and Xunfu Zhong and Jiaqiu Liu and Qiang Sun and Pengfei Ge and Xiaolan Ren and Caixia Dong and Hui Zhang and Enke Mao and Xiaoping Wang and Tao Wang and Xi Zhang and Ding Zhang and Gang Zhou and Shixian Feng and Liang Chang and Lei Fan and Yulian Gao and Tianyou He and Huarong Sun and Pan He and Chen Hu and Xukui Zhang and Huifang Wu and Min Yu and Ruying Hu and Hao Wang and Yijian Qian and Chunmei Wang and Kaixu Xie and Lingli Chen and Zhongxi Fu and Qiaohua Xu and Xin Xu and Hao Zhang and Huajun Long and Xianzhi Li and Libo Zhang and Zhe Qiu,2019-12-10,2020-02-19,2020-02-19,72 days 00:00:00.000000000,"{'China', 'United Kingdom'}"
https://doi.org/10.1016/S2214-109X(19)30534-0,Effect of facility-based HIV self-testing on uptake of testing among outpatients in Malawi: a cluster-randomised trial,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X19305340,Kathryn Dovel and Frackson Shaba and O Agatha Offorjebe and Kelvin Balakasi and Mike Nyirenda and Khumbo Phiri and Sundeep K Gupta and Vincent Wong and Chi-Hong Tseng and Brooke E Nichols and Refiloe Cele and Eric Lungu and Tobias Masina and Thomas J Coates and Risa M Hoffman,2018-12-20,2019-11-25,2019-11-25,341 days 00:00:00.000000000,"{'United States', 'Malawi', 'South Africa'}"
https://doi.org/10.1016/S2214-109X(20)30130-3,Chinese trends in adolescent marriage and fertility between 1990 and 2015: a systematic synthesis of national and subnational population data,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301303,Dongmei Luo and Xiaojin Yan and Rongbin Xu and Jingshu Zhang and Xinran Shi and Jun Ma and Yi Song and George C Patton and Susan M Sawyer,2020-02-24,2020-03-30,2020-03-30,36 days 00:00:00.000000000,"{'China', 'Australia'}"
https://doi.org/10.1016/S2214-109X(20)30102-9,"Effects of vehicle safety design on road traffic deaths, injuries, and public health burden in the Latin American region: a modelling study",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301029,Kavi Bhalla and Kevin Gleason,2019-09-09,2020-03-09,2020-03-09,183 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S2214-109X(20)30263-1,"Liberal trade policy and food insecurity across the income distribution: an observational analysis in 132 countries, 2014–17",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302631,Pepita Barlow and Rachel Loopstra and Valerie Tarasuk and Aaron Reeves,,,2030-12-12,,
https://doi.org/10.1016/S2214-109X(20)30211-4,Use of the prevented fraction for the population to determine deaths averted by existing prevalence of physical activity: a descriptive study,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302114,Tessa Strain and Søren Brage and Stephen J Sharp and Justin Richards and Marko Tainio and Ding Ding and Jacques Benichou and Paul Kelly,2019-09-23,2020-04-17,2020-04-17,208 days 00:00:00.000000000,"{'Australia', 'France', 'Poland', 'United Kingdom', 'New Zealand'}"
