DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S1473-3099(16)30270-5,Potential for Zika virus introduction and transmission in resource-limited countries in Africa and the Asia-Pacific region: a modelling study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916302705,Isaac I Bogoch and Oliver J Brady and Moritz U G Kraemer and Matthew German and Maria I Creatore and Shannon Brent and Alexander G Watts and Simon I Hay and Manisha A Kulkarni and John S Brownstein and Kamran Khan,2016-05-16,2016-07-20,2016-09-01,66 days 00:00:00.000000000,"{'Sao Tome and Principe', 'United States', 'United Kingdom', 'unknown', 'Canada'}"
https://doi.org/10.1016/S1473-3099(15)00485-5,Prevalence and burden of HCV co-infection in people living with HIV: a global systematic review and meta-analysis,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309915004855,Lucy Platt and Philippa Easterbrook and Erin Gower and Bethan McDonald and Keith Sabin and Catherine McGowan and Irini Yanny and Homie Razavi and Peter Vickerman,2015-07-09,2015-11-18,2016-02-25,133 days 00:00:00.000000000,"{'United States', 'United Kingdom', 'Switzerland'}"
https://doi.org/10.1016/S1473-3099(16)30092-5,Risk of reproductive complications following chlamydia testing: a population-based retrospective cohort study in Denmark,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916300925,Bethan Davies and Katy M E Turner and Maria Frølund and Helen Ward and Margaret T May and Steen Rasmussen and Thomas Benfield and Henrik Westh,2015-10-06,2016-05-03,2016-06-08,211 days 00:00:00.000000000,"{'United Kingdom', 'Denmark'}"
https://doi.org/10.1016/S1473-3099(15)00537-X,Tropheryma whipplei infection and Whipple's disease,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S147330991500537X,Thomas Marth and Verena Moos and Christian Müller and Federico Biagi and Thomas Schneider,2030-12-12,2030-12-12,2020-07-14,,{'Italy'}
https://doi.org/10.1016/S1473-3099(16)00074-8,Efficacy of adjunctive sertraline for the treatment of HIV-associated cryptococcal meningitis: an open-label dose-ranging study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916000748,Joshua Rhein and Bozena M Morawski and Kathy Huppler Hullsiek and Henry W Nabeta and Reuben Kiggundu and Lillian Tugume and Abdu Musubire and Andrew Akampurira and Kyle D Smith and Ali Alhadab and Darlisha A Williams and Mahsa Abassi and Nathan C Bahr and Sruti S Velamakanni and James Fisher and Kirsten Nielsen and David B Meya and David R Boulware,2015-12-16,2016-01-29,2016-03-10,45 days 00:00:00.000000000,"{'United States', 'Uganda'}"
https://doi.org/10.1016/S1473-3099(16)30169-4,"Vaccine-induced mucosal immunity to poliovirus: analysis of cohorts from an open-label, randomised controlled trial in Latin American infants",The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916301694,Peter F Wright and Ruth I Connor and Wendy F Wieland-Alter and Anne G Hoen and Austin W Boesch and Margaret E Ackerman and M Steven Oberste and Chris Gast and Elizabeth B Brickley and Edwin J Asturias and Ricardo Rüttimann and Ananda S Bandyopadhyay,2016-01-07,2016-06-06,2016-09-13,152 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S1473-3099(16)30311-5,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916303115,Brooke E Nichols and Charles A B Boucher and Marc van der Valk and Bart J A Rijnders and David A M C van de Vijver,2016-05-23,2016-08-01,2016-09-22,71 days 00:00:00.000000000,{'Netherlands'}
https://doi.org/10.1016/S1473-3099(16)30012-3,Antimicrobial stewardship across 47 South African hospitals: an implementation study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916300123,Adrian J Brink and Angeliki P Messina and Charles Feldman and Guy A Richards and Piet J Becker and Debra A Goff and Karri A Bauer and Dilip Nathwani and Dena van den Bergh,2015-10-05,2016-03-23,2016-06-14,171 days 00:00:00.000000000,"{'United States', 'South Africa', 'United Kingdom'}"
https://doi.org/10.1016/S1473-3099(16)30398-X,New WHO recommendations on preoperative measures for surgical site infection prevention: an evidence-based global perspective,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S147330991630398X,Benedetta Allegranzi and Peter Bischoff and Stijn de Jonge and N Zeynep Kubilay and Bassim Zayed and Stacey M Gomes and Mohamed Abbas and Jasper J Atema and Sarah Gans and Miranda van Rijen and Marja A Boermeester and Matthias Egger and Jan Kluytmans and Didier Pittet and Joseph S Solomkin,2016-06-16,2016-09-13,2016-11-02,90 days 00:00:00.000000000,"{'United States', 'Netherlands', 'Switzerland', 'Germany'}"
https://doi.org/10.1016/S1473-3099(16)30157-8,Whole-genome sequencing to determine transmission of Neisseria gonorrhoeae: an observational study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916301578,Dilrini De Silva and Joanna Peters and Kevin Cole and Michelle J Cole and Fiona Cresswell and Gillian Dean and Jayshree Dave and Daniel Rh Thomas and Kirsty Foster and Alison Waldram and Daniel J Wilson and Xavier Didelot and Yonatan H Grad and Derrick W Crook and Tim E A Peto and A Sarah Walker and John Paul and David W Eyre,2017-10-12,2018-01-22,2018-03-06,103 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/S1473-3099(15)00543-5,Global emergence of enterovirus D68: a systematic review,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309915005435,Charlotte Carina Holm-Hansen and Sofie Elisabeth Midgley and Thea Kølsen Fischer,2015-08-20,2015-12-15,2016-02-24,118 days 00:00:00.000000000,{'Denmark'}
https://doi.org/10.1016/S1473-3099(16)30161-X,"Safety and immunogenicity of RTS,S/AS01 malaria vaccine in infants and children with WHO stage 1 or 2 HIV disease: a randomised, double-blind, controlled trial",The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S147330991630161X,Lucas Otieno and Martina Oneko and Walter Otieno and Joseph Abuodha and Emmanuel Owino and Chris Odero and Yolanda Guerra Mendoza and Ben Andagalu and Norbert Awino and Karen Ivinson and Dirk Heerwegh and Nekoye Otsyula and Maria Oziemkowska and Effua Abigail Usuf and Allan Otieno and Kephas Otieno and Didier Leboulleux and Amanda Leach and Janet Oyieko and Laurence Slutsker and Marc Lievens and Jessica Cowden and Didier Lapierre and Simon Kariuki and Bernhards Ogutu and Johan Vekemans and Mary J Hamel,2019-11-08,2020-04-23,2020-04-23,168 days 00:00:00.000000000,"{'France', 'Germany', 'United States', 'Spain', 'United Kingdom', 'Canada'}"
https://doi.org/10.1016/S1473-3099(16)30190-6,Population-based resistance of Mycobacterium tuberculosis isolates to pyrazinamide and fluoroquinolones: results from a multicountry surveillance project,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916301906,Matteo Zignol and Anna S Dean and Natavan Alikhanova and Sönke Andres and Andrea Maurizio Cabibbe and Daniela Maria Cirillo and Andrei Dadu and Andries Dreyer and Michèle Driesen and Christopher Gilpin and Rumina Hasan and Zahra Hasan and Sven Hoffner and Ashaque Husain and Alamdar Hussain and Nazir Ismail and Mostofa Kamal and Mikael Mansjö and Lindiwe Mvusi and Stefan Niemann and Shaheed V Omar and Ejaz Qadeer and Leen Rigouts and Sabine Ruesch-Gerdes and Marco Schito and Mehriban Seyfaddinova and Alena Skrahina and Sabira Tahseen and William A Wells and Ya Diul Mukadi and Michael Kimerling and Katherine Floyd and Karin Weyer and Mario C Raviglione,2016-04-27,2016-06-10,2016-07-07,45 days 00:00:00.000000000,"{'South Africa', 'Belgium', 'Denmark', 'Switzerland', 'Italy', 'Bangladesh', 'Sweden', 'Netherlands', 'Pakistan', 'Germany', 'United States', 'Azerbaijan', 'Belarus'}"
https://doi.org/10.1016/S1473-3099(16)30198-0,"Efficacy and safety of tribendimidine against Opisthorchis viverrini: two randomised, parallel-group, single-blind, dose-ranging, phase 2 trials",The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916301980,Somphou Sayasone and Peter Odermatt and Youthanavanh Vonghachack and Syda Xayavong and Kanpaseuth Senggnam and Urs Duthaler and Kongsap Akkhavong and Jan Hattendorf and Jennifer Keiser,2016-04-20,2016-06-13,2016-07-26,55 days 00:00:00.000000000,"{'Switzerland', 'unknown'}"
https://doi.org/10.1016/S1473-3099(16)30215-8,Use of standardised patients to assess antibiotic dispensing for tuberculosis by pharmacies in urban India: a cross-sectional study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309916302158,Srinath Satyanarayana and Ada Kwan and Benjamin Daniels and Ramnath Subbaraman and Andrew McDowell and Sofi Bergkvist and Ranendra K Das and Veena Das and Jishnu Das and Madhukar Pai,2016-05-10,2016-06-28,2016-08-25,50 days 00:00:00.000000000,"{'United States', 'India', 'Canada'}"
