DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S2213-2600(20)30229-0,Management of acute kidney injury in patients with COVID-19,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020302290,Claudio Ronco and Thiago Reis and Faeq Husain-Syed,2030-12-12,2030-12-12,2020-07-17,,{'China'}
https://doi.org/10.1016/S2213-2600(20)30182-X,Kidney transplant programmes during the COVID-19 pandemic,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S221326002030182X,Francesca Martino and Mario Plebani and Claudio Ronco,2020-04-06,2020-04-06,2020-04-16,1 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/S2213-2600(20)30070-9,Toning down the 2019-nCoV media hype—and restoring hope,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020300709,Giuseppe Ippolito and David S Hui and Francine Ntoumi and Markus Maeurer and Alimuddin Zumla,2020-02-07,2020-02-10,2020-02-12,4 days 00:00:00.000000000,"{'Italy', 'Congo', 'Hong Kong', 'Germany', 'United Kingdom'}"
https://doi.org/10.1016/S2213-2600(20)30156-9,Antihypertensive drugs and risk of COVID-19?,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020301569,Kevin Bryan Lo and Peter A McCullough and Janani Rangaswami,2020-04-22,2020-06-10,2020-06-30,50 days 00:00:00.000000000,"{'United States', 'Iran, Islamic Republic of'}"
https://doi.org/10.1016/S2213-2600(20)30132-6,The role of CT in case ascertainment and management of COVID-19 pneumonia in the UK: insights from high-incidence regions,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020301326,Felix Chua and Darius Armstrong-James and Sujal R Desai and Joseph Barnett and Vasileios Kouranos and Onn Min Kon and Ricardo José and Rama Vancheeswaran and Michael R Loebinger and Joyce Wong and Maria Teresa Cutino-Moguel and Cliff Morgan and Stephane Ledot and Boris Lams and Wing Ho Yip and Leski Li and Ying Cheong Lee and Adrian Draper and Sze Shyang Kho and Elisabetta Renzoni and Katie Ward and Jimstan Periselneris and Sisa Grubnic and Marc Lipman and Athol U Wells and Anand Devaraj,2020-03-07,2020-03-16,2020-03-25,10 days 00:00:00.000000000,"{'Hong Kong', 'Malaysia', 'United Kingdom'}"
https://doi.org/10.1016/S2213-2600(20)30071-0,Therapeutic and triage strategies for 2019 novel coronavirus disease in fever clinics,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020300710,Jinnong Zhang and Luqian Zhou and Yuqiong Yang and Wei Peng and Wenjing Wang and Xuelin Chen,2020-04-04,2020-04-28,2020-05-03,25 days 00:00:00.000000000,"{'unknown', 'China'}"
https://doi.org/10.1016/S2213-2600(20)30184-3,Reflecting on World Asthma Day in the era of COVID-19,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020301843, The Lancet Respiratory Medicine,,,2030-12-12,,
https://doi.org/10.1016/S2213-2600(20)30245-9,Small droplet aerosols in poorly ventilated spaces and SARS-CoV-2 transmission,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020302459,G Aernout Somsen and Cees van Rijn and Stefan Kooij and Reinout A Bem and Daniel Bonn,2020-05-01,2020-05-19,2020-05-27,19 days 00:00:00.000000000,{'Netherlands'}
https://doi.org/10.1016/S2213-2600(20)30273-3,SARS-CoV-2 infection in conjunctival tissue – Authors' reply,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020302733,Kenrie PY Hui and Malik Peiris and JM Nicholls and Michael CW Chan,2020-05-19,2020-05-29,2020-05-29,11 days 00:00:00.000000000,{'Hong Kong'}
https://doi.org/10.1016/S2213-2600(20)30268-X,Feasibility and physiological effects of prone positioning in non-intubated patients with acute respiratory failure due to COVID-19 (PRON-COVID): a prospective cohort study,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S221326002030268X,Anna Coppo and Giacomo Bellani and Dario Winterton and Michela Di Pierro and Alessandro Soria and Paola Faverio and Matteo Cairo and Silvia Mori and Grazia Messinesi and Ernesto Contro and Paolo Bonfanti and Annalisa Benini and Maria Grazia Valsecchi and Laura Antolini and Giuseppe Foti,2020-05-01,2020-05-30,2020-06-19,30 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/S2213-2600(20)30176-4,COVID-19: Respiratory support outside the intensive care unit,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020301764,Tom McEnery and Ciara Gough and Richard W Costello,2020-05-15,2020-06-08,2020-07-02,25 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/S2213-2600(20)30172-7,Hydroxychloroquine in the management of critically ill patients with COVID-19: the need for an evidence base,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020301727,Fabio S Taccone and Julie Gorham and Jean-Louis Vincent,2020-04-03,2020-04-06,2020-04-15,4 days 00:00:00.000000000,{'Belgium'}
https://doi.org/10.1016/S2213-2600(20)30151-X,Tackling two pandemics: a plea on World Tuberculosis Day,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S221326002030151X,Tom Wingfield and Luis E Cuevas and Peter MacPherson and Kerry A Millington and S Bertel Squire,2020-03-19,2020-03-20,2020-03-24,2 days 00:00:00.000000000,"{'Nigeria', 'United Kingdom'}"
https://doi.org/10.1016/S2213-2600(20)30240-X,The future of critical care: lessons from the COVID-19 crisis,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S221326002030240X, The Lancet Respiratory Medicine,2020-03-24,2020-03-25,2020-05-27,2 days 00:00:00.000000000,{'United Arab Emirates'}
