journal_name,SJR,SJR_year,SNIP,SNIP_year,CiteScore,CiteScore_year,url
The Lancet,14.554,2019,21.313,2019,73.4,2019,https://api.elsevier.com/content/serial/title/issn/0140-6736
American Journal of Infection Control,0.989,2019,1.214,2019,4.1,2019,https://api.elsevier.com/content/serial/title/issn/0196-6553
Asian Journal of Psychiatry,0.736,2019,1.022,2019,2.7,2019,https://api.elsevier.com/content/serial/title/issn/1876-2018
Clinical Epidemiology and Global Health,0.288,2019,0.708,2019,1,2019,unknown
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,0.124,2018,0,2018,unknwon,unknown,https://api.elsevier.com/content/serial/title/issn/2042-8545
International Journal of Infectious Diseases,1.437,2019,1.426,2019,5.3,2019,https://api.elsevier.com/content/serial/title/issn/1201-9712
Journal of Hospital Infection,1.295,2019,1.434,2019,5.5,2019,https://api.elsevier.com/content/serial/title/issn/0195-6701
Journal of Infection,0.989,2019,1.214,2019,4.1,2019,https://api.elsevier.com/content/serial/title/issn/0196-6553
Medical Hypotheses,0.108,2014,unknwon,unknwon,unknwon,unknown,https://api.elsevier.com/content/serial/title/issn/1735-9104
New Scientist,0.103,2019,0,2019,0.1,2019,https://api.elsevier.com/content/serial/title/issn/0262-4079
The Lancet Global Health,8.055,2019,7.743,2019,23.1,2019,https://api.elsevier.com/content/serial/title/issn/2214-109X
The Lancet Infectious Diseases,9.04,2019,7.234,2019,32.4,2019,https://api.elsevier.com/content/serial/title/issn/1473-3099
The Lancet Respiratory Medicine,7.516,2019,6.666,2019,27.6,2019,https://api.elsevier.com/content/serial/title/issn/2213-2600
Travel Medicine and Infectious Disease,1.075,2019,1.184,2019,4.7,2019,https://api.elsevier.com/content/serial/title/issn/1477-8939
"""Journal of Microbiology, Immunology and Infection""",0.947,2019,1.306,2019,4.8,2019,https://api.elsevier.com/content/serial/title/issn/1684-1182
International Journal of Antimicrobial Agents,1.509,2019,1.296,2019,6.7,2019,https://api.elsevier.com/content/serial/title/issn/0924-8579
The Lancet Public Health,6.886,2019,5.96,2019,16.8,2019,unknown
Journal of the American Academy of Dermatology,1.811,2019,2.125,2019,6.7,2019,https://api.elsevier.com/content/serial/title/issn/0190-9622
The Lancet Psychiatry,6.967,2019,6.635,2019,25.7,2019,https://api.elsevier.com/content/serial/title/issn/2215-0366
The Lancet Gastroenterology & Hepatology,5.299,2019,4.191,2019,17.1,2019,https://api.elsevier.com/content/serial/title/issn/2468-1253
Microbes and Infection,2.212,2019,1.658,2019,6.9,2019,https://api.elsevier.com/content/serial/title/issn/2222-1751
"""Infection, Genetics and Evolution""",1.185,2019,1.066,2019,5,2019,https://api.elsevier.com/content/serial/title/issn/1567-1348
The Lancet Oncology,15.65,2019,9.486,2019,49.4,2019,https://api.elsevier.com/content/serial/title/issn/1470-2045
Psychiatry Research,0.173,2018,unknwon,unknwon,0.6,2018,https://api.elsevier.com/content/serial/title/issn/1849-8582
One Health,0.206,2019,0.554,2019,0.9,2019,https://api.elsevier.com/content/serial/title/issn/2455-5673
