DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.ajic.2020.07.023,Practice and exploration of infection prevention and control measures based on risk management of surgical patients during the epidemic of Corona Virus Disease 2019 (COVID-19),American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320307288,Yan Ren and Shuang Liu and Lin Yang and Jiao Shan and Yue Liu and Hong Li and Li-Hong Chen and Hui Chen,2020-03-25,2020-07-15,2020-07-20,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ajic.2020.06.216,Disinfection of N95 masks artificially contaminated with SARS-CoV-2 and ESKAPE bacteria using hydrogen peroxide plasma: impact on the reutilization of disposable devices,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320306398,Gabriela Ibáñez-Cervantes and Juan Carlos Bravata-Alcántara and Alan Steve Nájera-Cortés and Sergio Meneses-Cruz and Laura Delgado-Balbuena and Clemente Cruz-Cruz and Emilio Mariano Durán-Manuel and Monica Alethia Cureño-Díaz and Erika Gómez-Zamora and Sonia Chávez-Juárez and Oscar Sosa-Hernández and Antonio Aguilar-Rojas and Juan Manuel Bello-López,2020-05-11,2020-06-23,2020-07-06,44 days 00:00:00.000000000,{'Mexico'}
https://doi.org/10.1016/j.ajic.2020.05.020,The impact of novel coronavirus SARS-CoV-2 among healthcare workers in hospitals: An aerial overview,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320303163,Boqi Xiang and Peining Li and Xinhui Yang and Shuyi Zhong and Anne Manyande and Maohui Feng,2020-04-30,2020-05-20,2020-05-26,21 days 00:00:00.000000000,"{'Canada', 'China', 'United Kingdom', 'Spain'}"
https://doi.org/10.1016/j.ajic.2020.06.007,Rational Perspectives on Risk and Certainty for Dentistry During the COVID-19 Pandemic,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320303680,Eugenio Beltrán-Aguilar and Habib Benzian and Richard Niederman,2020-05-17,2020-06-08,2020-06-11,23 days 00:00:00.000000000,"{'Switzerland', 'United States'}"
https://doi.org/10.1016/j.ajic.2020.04.020,Counterfeit filtering facepiece respirators are posing an additional risk to health care workers during COVID-19 pandemic,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320302674,Mariachiara Ippolito and Cesare Gregoretti and Andrea Cortegiani and Pasquale Iozzo,2020-04-28,2020-04-28,2020-04-29,1 days 00:00:00.000000000,"{'Italy', 'unknown'}"
https://doi.org/10.1016/j.ajic.2020.06.185,Bacterial and fungal colonization of the respiratory tract in COVID-19 patients should not be neglected,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320305666,J. Intra and C. Sarto and E. Beck and N. Tiberti and V. Leoni and P. Brambilla,,,2030-12-12,,
https://doi.org/10.1016/j.ajic.2020.05.041,Handheld ultrasound devices: An emerging technology to reduce viral spread during the Covid-19 pandemic,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320303564,Lauren E. Gibson and Edward A. Bittner and Marvin G. Chang,2020-05-29,2020-05-30,2020-06-05,2 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.ajic.2020.07.009,The Impact of Healthcare Provider Relationships and Communication Dynamics on Urinary Tract Infection Management and Antibiotic Utilization for Long-Term Care Facility Residents Treated in the Emergency Department: A Qualitative Study,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320306957,Luke Carmichael Valmadrid and Rebecca J. Schwei and Elizabeth Maginot and Michael S. Pulia,2020-05-14,2020-07-07,2020-07-09,55 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.ajic.2020.05.008,Global risk to the community and clinical setting: Flocking of fake masks and protective gears during the COVID-19 pandemic,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320302832,Simon Ching Lam and Lorna Kwai Ping Suen and Teris Cheuk Chi Cheung,2020-05-04,2020-05-08,2020-05-13,5 days 00:00:00.000000000,{'Hong Kong'}
https://doi.org/10.1016/j.ajic.2020.06.207,Monitoring environmental contamination caused by SARS-CoV-2 in a healthcare facility by using adenosine triphosphate testing,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320306313,Yu-Mi Lee and Young Jin Kim and Dong Youn Kim and Ki-Ho Park and Mi Suk Lee,,,2030-12-12,,
https://doi.org/10.1016/j.ajic.2020.06.203,Design and evaluation of a portable negative pressure hood with HEPA filtration to protect health care workers treating patients with transmissible respiratory infections,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S019665532030585X,Hai-Thien Phu and Yensil Park and Austin J. Andrews and Ian Marabella and Asish Abraham and Reid Mimmack and Bernard A. Olson and Jonathan Chaika and Eugene Floersch and Mojca Remskar and Janet R. Hume and Gwenyth A. Fischer and Kumar Belani and Christopher J. Hogan,2020-05-13,2020-06-23,2020-06-27,42 days 00:00:00.000000000,{'Mongolia'}
https://doi.org/10.1016/j.ajic.2020.05.027,Environmental contamination of SARS-CoV-2 during the COVID-19 outbreak in South Korea,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320303448,Byung-Han Ryu and Younghwa Cho and Oh-Hyun Cho and Sun In Hong and Sunjoo Kim and Seungjun Lee,2020-04-27,2020-06-01,2020-06-01,36 days 00:00:00.000000000,"{""Korea, Democratic People's Republic of""}"
https://doi.org/10.1016/j.ajic.2020.07.014,Epidemiological characteristics of the COVID-19 outbreak in a secondary hospital in Spain,American Journal of Infection Control,article,http://www.sciencedirect.com/science/article/pii/S0196655320307008,Christine Giesen and Laura Diez-Izquierdo and Carmen María Saa-Requejo and Inmaculada Lopez-Carrillo and Carmen Alejandra Lopez-Vilela and Alicia Seco-Martinez and María Teresa Ramirez Prieto and Eduardo Malmierca and Cristina Garcia-Fernandez,,,2030-12-12,,
