DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.ajp.2020.102271,"Development, reliability, and validity of the case management quality of care scale (CMQS) among clients with first episode psychosis",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S187620182030383X,Horng Hien Wong and Edimansyah Abdin and Janhavi Vaingankar and Yi Chian Chua and Yee Huei Yong and Shazana Shahwan and Laxman Cetty and Charlene Hon and Wei Quan Jeremy Chan and Helen Lee and Swapna Verma and Mythily Subramaniam,2020-03-28,2020-06-25,2020-07-11,90 days 00:00:00.000000000,{'Singapore'}
https://doi.org/10.1016/j.ajp.2020.102083,"Study of knowledge, attitude, anxiety & perceived mental healthcare need in Indian population during COVID-19 pandemic",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301945,Deblina Roy and Sarvodaya Tripathy and Sujita Kumar Kar and Nivedita Sharma and Sudhir Kumar Verma and Vikas Kaushal,2020-04-01,2020-04-03,2020-04-08,3 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102187,"Lived experiences of the corona survivors (patients admitted in COVID wards): A narrative real-life documented summaries of internalized guilt, shame, stigma, anger",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302999,Swapnajeet Sahoo and Aseem Mehra and Vikas Suri and Pankaj Malhotra and Lakshmi Narayana Yaddanapudi and Goverdhan Dutt Puri and Sandeep Grover,2020-04-22,2020-05-28,2020-05-30,37 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102059,"Prevalence, comorbidity and predictors of anxiety disorders among children and adolescents",Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301702,Mohammad Reza Mohammadi and Nastaran Ahmadi and Fatemeh Rismanian Yazdi and Ali Khaleghi and Seyed-Ali Mostafavi and Zahra Hooshyari and Parviz Molavi and Nasrin Sarraf and Seyed Kaveh Hojjat and Soleiman Mohammadzadeh and Shahrokh Amiri and Soroor Arman and Ahmad Ghanizadeh and Ahmad Ahmadipour and Rahim Ostovar and Hedayat Nazari and Seyed Hamzeh Hosseini and Atieh Golbon and Firoozeh Derakhshanpour and Ali Delpisheh and Siavash Talepasand and Azizollah Mojahed and Naser Hajian Motlagh and Aazam Sadat Heydari Yazdi and Mohammad Ahmadpanah and Reza Dastjerdi and Houshang Amirian and Alireza Armani Kian and Parvin Safavi and Maryam Kousha and Anita Alaghmand and Mahin Eslami Shahrbabaki and Amir Houshang Mehrparvar,2019-11-02,2020-03-29,2020-05-16,149 days 00:00:00.000000000,{'Iran'}
https://doi.org/10.1016/j.ajp.2020.102125,The Beck Depression Inventory-II as a screening tool of depression in the Chinese adolescent population in Hong Kong: A validation study using the Composite International Diagnostic Interview as the gold standard,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302367,Xue Yang and Sunita Mahtani Stewart,,,2030-12-12,,
https://doi.org/10.1016/j.ajp.2020.102101,A nationwide survey of attitudes towards psychiatry among final-year medical students in Sri Lanka,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302124,A.K.A.B. Baminiwatta and W.A.V.S. Bandara and A.A.I.D. Athurugiriya and T. Yangdon and G.R. Cader and L.A.B. Bokalamulla and W.R.R.D. Bandara and W.M.K.M. Bandara and K.A.S.I.P. Chandradasa and H.P. Athukorala and G.S.S.R. Dias,2020-03-12,2020-04-08,2020-04-17,28 days 00:00:00.000000000,{'Sri Lanka'}
https://doi.org/10.1016/j.ajp.2020.102089,Sentiment analysis of nationwide lockdown due to COVID 19 outbreak: Evidence from India,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820302008,Gopalkrishna Barkur and  Vibha and Giridhar B. Kamath,2020-04-05,2020-04-06,2020-04-12,2 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.ajp.2020.102068,Predicting factors for non-suicidal self-injury in patients with schizophrenia spectrum disorders and the role of substance use,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301799,Erengül Güney and İzgi Alnıak and Murat Erkıran,2019-12-09,2020-04-01,2020-04-21,115 days 00:00:00.000000000,{'Turkey'}
https://doi.org/10.1016/j.ajp.2020.102020,Rethinking efficacy: People’s perception of ritual healing and trance religious practices at shrines in Pakistan,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301313,Iftikhar Ahmed Charan and Shen Xin and Wang Zezhuang and Dewei Yao,2019-12-08,2020-03-19,2020-04-12,103 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ajp.2020.102072,The fight against COVID-19 and the restoration of trust in Chinese medical professionals,Asian Journal of Psychiatry,article,http://www.sciencedirect.com/science/article/pii/S1876201820301830,Yiqun Gan and Yidi Chen and Cheng Wang and Carl Latkin and Brian J. Hall,2020-04-01,2020-04-02,2020-04-09,2 days 00:00:00.000000000,"{'United States', 'China'}"
