DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.dsx.2020.06.050,A wave of non-communicable diseases following the COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302198,Michael Anthonius Lim and Ian Huang and Emir Yonas and Rachel Vania and Raymond Pranata,2020-06-12,2020-06-24,2020-06-26,13 days 00:00:00.000000000,{'Indonesia'}
https://doi.org/10.1016/j.dsx.2020.06.042,Impact of COVID-19 on routine care for chronic diseases: A global survey of views from healthcare professionals,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302113,Yogini V. Chudasama and Clare L. Gillies and Francesco Zaccardi and Briana Coles and Melanie J. Davies and Samuel Seidu and Kamlesh Khunti,2020-06-16,2020-06-19,2020-06-23,4 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.dsx.2020.07.015,Hypercoagulable state in COVID-19 with diabetes mellitus and obesity: Is therapeutic-dose or higher-dose anticoagulant thromboprophylaxis necessary?,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302630,Indra Wijaya and Rizky Andhika and Ian Huang,2020-07-05,2020-07-09,2020-07-15,5 days 00:00:00.000000000,{'Indonesia'}
https://doi.org/10.1016/j.dsx.2020.04.049,COVID-19 and diabetes mellitus: An unholy interaction of two pandemics,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301144,Rimesh Pal and Sanjay K. Bhadada,2020-04-28,2020-04-30,2020-05-06,3 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.05.048,“Does having diabetes increase chances of contracting COVID-19 infection?”,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301661,Kalyan Kumar Gangopadhyay,2020-05-19,2020-05-29,2020-06-01,11 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.04.019,Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers may be harmful in patients with diabetes during COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120300850,Erkan Cure and Medine Cumhur Cure,2030-12-12,2030-12-12,2020-07-02,,"{'United Kingdom', 'Poland'}"
https://doi.org/10.1016/j.dsx.2020.03.017,Linear Regression Analysis to predict the number of deaths in India due to SARS-CoV-2 at 6 weeks from day 0 (100 cases - March 14th 2020),Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120300576,Samit Ghosal and Sumit Sengupta and Milan Majumder and Binayak Sinha,2020-03-26,2020-03-27,2020-04-02,2 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.05.035,Psychosocial impact of COVID-19,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301545,Souvik Dubey and Payel Biswas and Ritwik Ghosh and Subhankar Chatterjee and Mahua Jana Dubey and Subham Chatterjee and Durjoy Lahiri and Carl J. Lavie,2020-05-24,2020-07-16,2020-07-16,54 days 00:00:00.000000000,{'Serbia'}
https://doi.org/10.1016/j.dsx.2020.05.011,Significant applications of virtual reality for COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301302,Ravi Pratap Singh and Mohd Javaid and Ravinder Kataria and Mohit Tyagi and Abid Haleem and Rajiv Suman,2020-04-27,2020-05-05,2020-05-12,9 days 00:00:00.000000000,"{'Bangladesh', 'India'}"
https://doi.org/10.1016/j.dsx.2020.05.007,Role of oxidized LDL-induced “trained macrophages” in the pathogenesis of COVID-19 and benefits of pioglitazone: A hypothesis,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301260,Adnan Erol,2020-04-26,2020-05-04,2020-05-12,9 days 00:00:00.000000000,set()
https://doi.org/10.1016/j.dsx.2020.07.005,"Association of hypertension, diabetes, stroke, cancer, kidney disease, and high-cholesterol with COVID-19 disease severity and fatality: A systematic review",Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302514,Nazar Zaki and Hany Alashwal and Sahar Ibrahim,2020-06-23,2020-07-03,2020-07-08,11 days 00:00:00.000000000,"{'United Arab Emirates', 'United States'}"
https://doi.org/10.1016/j.dsx.2020.06.009,"Letter in response to the article “Enhancing immunity in viral infections, with special emphasis on COVID-19: A review” (Jayawardena et al.)",Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301788,Luigi Santacroce,2020-05-24,2020-06-05,2020-06-07,13 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/j.dsx.2020.06.001,A novel peer-to-peer contact tracking application for COVID-19 and future pandemics,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301703,Nolan J. Brown,2020-05-27,2020-06-01,2020-06-04,6 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.dsx.2020.05.047,Relationship between COVID-19 and obesity,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S187140212030165X,Timur Ekiz and Ahmet Cemal Pazarlı,2020-06-10,2020-07-09,2020-07-18,30 days 00:00:00.000000000,{'Brazil'}
https://doi.org/10.1016/j.dsx.2020.05.023,Convalescent plasma: A possible treatment protocol for COVID- 19 patients suffering from diabetes or underlying liver diseases,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301429,Ashish Yashwantrao Pawar and Apoorva Prashant Hiray and Deepak Devidas Sonawane and Rajendra Sudhakar Bhambar and Deelip Vishram Derle and Yogesh Suresh Ahire,2020-05-07,2020-07-06,2020-07-20,61 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.dsx.2020.03.006,"Doctors and healthcare workers at frontline of COVID 19 epidemic: Admiration, a pat on the back, and need for extreme caution",Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120300461,Anoop Misra,2030-12-12,2030-12-12,2020-03-22,,{'India'}
https://doi.org/10.1016/j.dsx.2020.05.045,Projections for COVID-19 pandemic in India and effect of temperature and humidity,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301673,Kuldeep Goswami and Sulaxana Bharali and Jiten Hazarika,2020-05-16,2020-05-29,2020-06-05,14 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.04.050,Vitamin D concentrations and COVID-19 infection in UK Biobank,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301156,Claire E. Hastie and Daniel F. Mackay and Frederick Ho and Carlos A. Celis-Morales and Srinivasa Vittal Katikireddi and Claire L. Niedzwiedz and Bhautesh D. Jani and Paul Welsh and Frances S. Mair and Stuart R. Gray and Catherine A. O’Donnell and Jason MR. Gill and Naveed Sattar and Jill P. Pell,2020-05-21,2020-05-29,2020-06-13,9 days 00:00:00.000000000,"{'Czechia', 'United States'}"
https://doi.org/10.1016/j.dsx.2020.05.025,Mechanism of inflammatory response in associated comorbidities in COVID-19,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301430,Thays Maria Costa de Lucena and Ariane Fernandes da Silva Santos and Brenda Regina de Lima and Maria Eduarda de Albuquerque Borborema and Jaqueline de Azevêdo Silva,2030-12-12,2030-12-12,2020-07-17,,{'China'}
https://doi.org/10.1016/j.dsx.2020.06.067,Differential mortality in COVID-19 patients from India and western countries,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302368,Vijay Kumar Jain and Karthikeyan Iyengar and Abhishek Vaish and Raju Vaishya,2020-06-04,2020-06-29,2020-07-02,26 days 00:00:00.000000000,"{'United Kingdom', 'India'}"
https://doi.org/10.1016/j.dsx.2020.05.020,Obesity as a predictor for a poor prognosis of COVID-19: A systematic review,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301399,Alice Tamara and Dicky L. Tahapary,2020-05-03,2020-05-09,2020-05-12,7 days 00:00:00.000000000,"{'Slovenia', 'Indonesia'}"
https://doi.org/10.1016/j.dsx.2020.07.016,Impact of lockdown in COVID 19 on glycemic control in patients with type 1 Diabetes Mellitus,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120302642,Anjali Verma and Rajesh Rajput and Surender Verma and Vikas K.B. Balania and Babita Jangra,2020-07-01,2020-07-10,2020-07-13,10 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.06.054,Role of corticosteroid in the management of COVID-19: A systemic review and a Clinician’s perspective,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S187140212030223X,Awadhesh Kumar Singh and Sujoy Majumdar and Ritu Singh and Anoop Misra,,,2030-12-12,,
https://doi.org/10.1016/j.dsx.2020.06.014,Application of cognitive Internet of Medical Things for COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301831,Swati Swayamsiddha and Chandana Mohanty,2020-05-29,2020-06-08,2020-06-11,11 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.dsx.2020.05.012,Challenges of diabetes care management in developing countries with a high incidence of COVID-19: A brief report,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,article,http://www.sciencedirect.com/science/article/pii/S1871402120301314,Sedigheh Nouhjah and Shayesteh Jahanfar,2020-04-17,2020-05-05,2020-05-19,19 days 00:00:00.000000000,"{'Iran, Islamic Republic of', 'United States'}"
