DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.ijid.2020.04.027,Specific ACE2 expression in small intestinal enterocytes may cause gastrointestinal symptoms and injury after 2019-nCoV infection,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220302381,Hui Zhang and Hong-Bao Li and Jian-Rui Lyu and Xiao-Ming Lei and Wei Li and Gang Wu and Jun Lyu and Zhi-Ming Dai,2020-03-02,2020-04-09,2020-04-18,39 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ijid.2020.06.089,The role of testing in infectious disease control: A case of COVID-19 in Africa,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220305257,Abdul-Aziz Seidu and John Elvis Hagan and Edward Kwabena Ameyaw and Bright Opoku Ahinkorah and Thomas Schack,2020-04-14,2020-06-25,2020-06-30,73 days 00:00:00.000000000,"{'Germany', 'Australia'}"
https://doi.org/10.1016/j.ijid.2020.05.068,"Clinical characteristics of critically ill patients co-infected with SARS-CoV-2 and the influenza virus in Wuhan, China",International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220303751,Simin Ma and Xiaoquan Lai and Zhe Chen and Shenghao Tu and Kai Qin,2020-04-16,2020-05-20,2020-05-26,35 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ijid.2020.05.107,Clinical features and short-term outcomes of elderly patients with COVID-19,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S120197122030415X,Ping Li and Lulu Chen and Zheming Liu and Jinghui Pan and Dingyi Zhou and Hui Wang and Hongyun Gong and Zhenmin Fu and Qibin Song and Qian Min and Shasha Ruan and Tangpeng Xu and Fan Cheng and Xiangpan Li,2020-03-30,2020-05-23,2020-05-31,55 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ijid.2020.06.009,Estimating the undetected infections in the Covid-19 outbreak by harnessing capture–recapture methods,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304446,Dankmar Böhning and Irene Rocchetti and Antonello Maruotti and Heinz Holling,2020-05-08,2020-06-04,2020-06-11,28 days 00:00:00.000000000,"{'Germany', 'Norway', 'Italy', 'United Kingdom'}"
https://doi.org/10.1016/j.ijid.2020.04.024,SARS-CoV-2 RNA detection of hospital isolation wards hygiene monitoring during the Coronavirus Disease 2019 outbreak in a Chinese hospital,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S120197122030237X,Jie Wang and Haiting Feng and Sheng Zhang and Zuowei Ni and Lingmei Ni and Yu Chen and Lixin Zhuo and Zifeng Zhong and Tingting Qu,,,2030-12-12,,
https://doi.org/10.1016/j.ijid.2020.05.040,Reducing mortality and morbidity in patients with severe COVID-19 disease by advancing ongoing trials of Mesenchymal Stromal (stem) Cell (MSC) therapy — Achieving global consensus and visibility for cellular host-directed therapies,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220303477,Alimuddin Zumla and Fu-Sheng Wang and Giuseppe Ippolito and Nicola Petrosillo and Chiara Agrati and Esam I. Azhar and Chao Chang and Sherif A. El-Kafrawy and Mohamed Osman and Laurence Zitvogel and Peter R. Galle and Franco Locatelli and Ellen Gorman and Carlos Cordon-Cardo and Cecilia O’Kane and Danny McAuley and Markus Maeurer,2020-05-11,2020-05-12,2020-05-17,2 days 00:00:00.000000000,"{'Germany', 'Portugal', 'Italy', 'France', 'China', 'Saudi Arabia', 'United States', 'United Kingdom'}"
https://doi.org/10.1016/j.ijid.2020.04.014,Adoption of personal protective measures by ordinary citizens during the COVID-19 outbreak in Japan,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220302307,Masaki Machida and Itaru Nakamura and Reiko Saito and Tomoki Nakaya and Tomoya Hanibuchi and Tomoko Takamiya and Yuko Odagiri and Noritoshi Fukushima and Hiroyuki Kikuchi and Takako Kojima and Hidehiro Watanabe and Shigeru Inoue,2020-03-24,2020-04-06,2020-04-10,14 days 00:00:00.000000000,{'Japan'}
https://doi.org/10.1016/j.ijid.2020.05.029,"COVID-19 outbreak reproduction number estimations and forecasting in Marche, Italy",International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220303362,Nalini Chintalapudi and Gopi Battineni and Getu Gamo Sagaro and Francesco Amenta,2020-04-23,2020-05-07,2020-05-11,15 days 00:00:00.000000000,"{'unknown', 'Italy'}"
https://doi.org/10.1016/j.ijid.2020.05.098,Evaluation of novel antigen-based rapid detection test for the diagnosis of SARS-CoV-2 in respiratory samples,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304057,Lorena Porte and Paulette Legarraga and Valeska Vollrath and Ximena Aguilera and José M. Munita and Rafael Araos and Gabriel Pizarro and Pablo Vial and Mirentxu Iruretagoyena and Sabine Dittrich and Thomas Weitzel,,,2030-12-12,,
