DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.ijid.2020.06.076,"Comparison of diagnostic accuracy of the GeneXpert Ultra, and cell-free nucleic acid assay for tuberculous meningitis: a multicenter prospective study",International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220305130,Lingling Shao and Chao Qiu and Liheng Zheng and Yang Yang and Xinting Yang and Qingtao Liang and Yun Zhang and Nanying Che and Yu Pang and Hongfei Duan,2020-05-30,2020-06-23,2020-06-26,25 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ijid.2020.06.089,The role of testing in infectious disease control: A case of COVID-19 in Africa,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220305257,Abdul-Aziz Seidu and John Elvis Hagan and Edward Kwabena Ameyaw and Bright Opoku Ahinkorah and Thomas Schack,2020-04-14,2020-06-25,2020-06-30,73 days 00:00:00.000000000,"{'Australia', 'Germany'}"
https://doi.org/10.1016/j.ijid.2020.05.121,Setting priorities for patient-centered surveillance of drug-resistant infections,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304288,Elizabeth A. Ashley and Alistair McLean and Francesca Chiara and Nicholas Feasey and Walter Jaoko and Japheth A. Opintan and Sharon J. Peacock and Priscilla Rupali and Paul Turner,2020-04-28,2020-05-28,2020-06-02,31 days 00:00:00.000000000,"{'Cambodia', 'India', 'Kenya', 'Ghana', 'United Kingdom'}"
https://doi.org/10.1016/j.ijid.2020.05.097,Incidences and factors associated with viral suppression or rebound among HIV patients on combination antiretroviral therapy from three counties in Kenya,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304045,E.K. Maina and H. Mureithi and A.A. Adan and J. Muriuki and R.M. Lwembe and E.A. Bukusi,2019-10-23,2020-06-18,2020-07-01,240 days 00:00:00.000000000,{'Ethiopia'}
https://doi.org/10.1016/j.ijid.2020.07.010,Sub-genotype change and recombination of coxsackievirus A6s may be the cause of being predominant pathogen for HFMD in children in Beijing as revealed by analysis of complete genome sequences,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220305531,Fangyuan Yu and Runan Zhu and Liping Jia and Qinwei Song and Jie Deng and Liying Liu and Linqing Zhao and Yuan Qian,2020-04-26,2020-07-01,2020-07-11,67 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ijid.2020.05.109,A combination of iron metabolism indexes and tuberculosis-specific antigen/phytohemagglutinin ratio for distinguishing active tuberculosis from latent tuberculosis infection,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304161,Ying Luo and Ying Xue and Qun Lin and Guoxing Tang and Xu Yuan and Liyan Mao and Huijuan Song and Feng Wang and Ziyong Sun,2020-04-06,2020-05-23,2020-06-02,48 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.ijid.2020.06.009,Estimating the undetected infections in the Covid-19 outbreak by harnessing capture–recapture methods,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304446,Dankmar Böhning and Irene Rocchetti and Antonello Maruotti and Heinz Holling,2020-05-08,2020-06-04,2020-06-11,28 days 00:00:00.000000000,"{'Italy', 'Germany', 'Norway', 'United Kingdom'}"
https://doi.org/10.1016/j.ijid.2020.06.037,Plasma pharmacokinetics and urinary excretion of tenofovir following cessation in adults with controlled levels of adherence to tenofovir disoproxil fumarate,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220304720,Tim R. Cressey and Oraphan Siriprakaisil and Rachel W. Kubiak and Virat Klinbuayaem and Pra-ornsuda Sukrakanchana and Justice Quame-Amaglo and Hideaki Okochi and Yardpiroon Tawon and Ratchada Cressey and Jared M. Baeten and Monica Gandhi and Paul K. Drain,2020-04-14,2020-06-10,2020-06-14,58 days 00:00:00.000000000,"{'Thailand', 'United States', 'unknown'}"
https://doi.org/10.1016/j.ijid.2020.07.008,"Performance of rapid tests in the management of dengue fever imported cases in Lazio, Italy 2014-2019",International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S120197122030552X,Giulia Matusali and Francesca Colavita and Fabrizio Carletti and Eleonora Lalle and Licia Bordi and Francesco Vairo and Giuseppe Ippolito and Maria R. Capobianchi and Concetta Castilletti,2019-12-31,2020-07-05,2020-07-10,188 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/j.ijid.2020.06.103,Cross-infection of Adenovirus among Medical Staff: A Warning from Intensive Care Unit in a Tertiary Care Teaching Hospital in China,International Journal of Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1201971220305385,Minhui Dai and Yanhao Wu and Hongyi Tan and Jing Deng and Maodan Hou and Wenzhong Peng and Guo Chen and Yi Li and Haitao Li and Pinhua Pan and Jingmei Lu,,,2030-12-12,,
