DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.jhin.2020.05.003,"It's in our hands: a rapid, international initiative to translate a hand hygiene song during the COVID-19 pandemic",Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302346,N. Thampi and Y. Longtin and A. Peters and D. Pittet and K. Overy,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2020.06.009,Usefulness of the epidemiological survey and RT–PCR test in pre-surgical patients for assessing the risk of COVID-19,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302942,H. Albendín-Iglesias and E. Mira-Bleda and A.E. Roura-Piloto and A. Hernández-Torres and E. Moral-Escudero and C. Fuente-Mora and A. Iborra-Bendicho and A. Moreno-Docón and C. Galera-Peñaranda and E. García-Vázquez,2020-06-04,2020-06-08,2020-06-12,5 days 00:00:00.000000000,{'Spain'}
https://doi.org/10.1016/j.jhin.2020.03.002,Reasons for healthcare workers becoming infected with novel coronavirus disease 2019 (COVID-19) in China,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301018,J. Wang and M. Zhou and F. Liu,2020-02-28,2020-03-02,2020-03-06,4 days 00:00:00.000000000,"{'Switzerland', 'China'}"
https://doi.org/10.1016/j.jhin.2020.04.002,"Super-spreading events and contribution to transmission of MERS, SARS, and SARS-CoV-2 (COVID-19)",Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301778,J.A. Al-Tawfiq and A.J. Rodriguez-Morales,2020-03-22,2020-04-02,2020-04-08,12 days 00:00:00.000000000,"{'Colombia', 'United States'}"
https://doi.org/10.1016/j.jhin.2020.05.019,Faecal shedding of SARS-CoV-2: considerations for hospital settings,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302504,J. Patel,2020-05-12,2020-05-13,2020-05-20,2 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.jhin.2020.05.034,Clinical assessment of COVID-19 outbreak among migrant workers residing in a large dormitory in Singapore,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302747,MH Chew and F.H. Koh and JT Wu and S. Ngaserin and A. Ng and BC Ong and V.J. Lee,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2020.05.022,COVID-19 pandemic – let's not forget surfaces,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S019567012030253X,S. Rawlinson and L. Ciric and E. Cloutman-Green,2020-04-14,2020-07-08,2020-07-08,86 days 00:00:00.000000000,set()
https://doi.org/10.1016/j.jhin.2020.04.045,Quis custodiet ipsos custodes: are we taking care of healthcare workers in the Italian COVID-19 outbreak?,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302309,M. Schiavone and G.B. Forleo and G. Mitacchione and A. Gasperetti and M. Viecca and C. Tondo,2020-04-29,2020-04-30,2020-05-07,2 days 00:00:00.000000000,{'Italy'}
https://doi.org/10.1016/j.jhin.2020.02.020,Practical experiences and suggestions for the ‘eagle-eyed observer’: a novel promising role for controlling nosocomial infection in the COVID-19 outbreak,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120300967,J. Peng and N. Ren and M. Wang and G. Zhang,2020-02-19,2020-02-27,2020-03-03,9 days 00:00:00.000000000,"{'Norway', 'China'}"
https://doi.org/10.1016/j.jhin.2020.04.018,Preparedness for COVID-19 infection prevention in Korea: a single-centre experience,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301936,Y.J. Kim and Y.J. Jeong and S.H. Kim and Y.J. Kim and S.Y. Lee and T.Y. Kim and M.S. Choi and J.H. Ahn,2020-03-31,2020-04-09,2020-04-14,10 days 00:00:00.000000000,{'unknown'}
https://doi.org/10.1016/j.jhin.2020.03.010,Washing our hands of the problem,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301092,C. Lynch and N. Mahida and B. Oppenheim and J. Gray,2020-03-16,2020-06-15,2020-07-02,92 days 00:00:00.000000000,{'Ethiopia'}
https://doi.org/10.1016/j.jhin.2020.06.018,Sustainabilit of SARS-CoV-2 in aerosols: should we worry about airborne transmission?,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303030,S. Romano-Bertrand and L-S. Aho-Glele and B. Grandbastien and J-F. Gehanno and D. Lepelletier,2020-04-10,2020-06-10,2020-06-12,62 days 00:00:00.000000000,"{'France', 'unknown'}"
https://doi.org/10.1016/j.jhin.2020.03.018,Lack of SARS-CoV-2 RNA environmental contamination in a tertiary referral hospital for infectious diseases in Northern Italy,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301171,M. Colaneri and E. Seminari and A. Piralla and V. Zuccaro and A. Di Filippo and F. Baldanti and R. Bruno and M.U. Mondelli and R. Bruno and M.U. Mondelli and E. Brunetti and A. Di Matteo and E. Seminari and L. Maiocchi and V. Zuccaro and L. Pagnucco and B. Mariani and S. Ludovisi and R. Lissandrin and A. Parisi and P. Sacchi and S.F.A. Patruno and G. Michelone and R. Gulminetti and D. Zanaboni and S. Novati and R. Maserati and P. Orsolini and M. Vecchia and M. Sciarra and E. Asperges and M. Colaneri and A. Di Filippo and M. Sambo and S. Biscarini and M. Lupi and S. Roda and T. Chiara Pieri and I. Gallazzi and M. Sachs and P. Valsecchi and S. Perlini and C. Alfano and M. Bonzano and F. Briganti and G. Crescenzi and A. Giulia Falchi and R. Guarnone and B. Guglielmana and E. Maggi and I. Martino and P. Pettenazza and S. Pioli di Marco and F. Quaglia and A. Sabena and F. Salinaro and F. Speciale and I. Zunino and M. De Lorenzo and G. Secco and L. Dimitry and G. Cappa and I. Maisak and B. Chiodi and M. Sciarrini and B. Barcella and F. Resta and L. Moroni and G. Vezzoni and L. Scattaglia and E. Boscolo and C. Zattera and T. Michele Fidel and C. Vincenzo and D. Vignaroli and M. Bazzini and G. Iotti and F. Mojoli and M. Belliato and L. Perotti and S. Mongodi and G. Tavazzi and G. Marseglia and A. Licari and I. Brambilla and B. Daniela and B. Antonella and C. Patrizia and C. Giulia and C. Giuditta and C. Marta and D. Rossana and F. Milena and M. Bianca and M. Roberta and M. Enza and P. Stefania and P. Maurizio and P. Elena and P. Antonio and R. Francesca and S. Antonella and Z. Maurizio and A. Guy and B. Laura and C. Ermanna and C. Giuliana and D. Luca and F. Gabriella and G. Gabriella and G. Alessia and L. Viviana and L. Claudia and M. Valentina and P. Simona and P. Marta and B. Alice and C. Giacomo and C. Irene and C. Alfonso and Raffella Di Martino and Annapia Di Napoli and F. Alessandro and F. Guglielmo and F. Loretta and G. Federica and M. Alessandra and N. Federica and R. Giacomo and R. Beatrice and S.I. Maria and T. Monica and V. Nepita Edoardo and M. Calvi and M. Tizzoni and C. Nicora and A. Triarico and V. Petronella and C. Marena and A. Muzzi and P. Lago and F. Comandatore and G. Bissignandi and S. Gaiarsa and M. Rettani and C. Bandi,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2020.03.026,Respiratory mucus and persistence of virus on surfaces,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301250,R. Eccles,2020-03-21,2020-03-23,2020-03-31,3 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.jhin.2020.06.022,The ways in which healthcare interior environments are associated with perception of safety from infectious diseases and coping behaviours,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303078,Suyeon Bae,2020-04-24,2020-06-17,2020-06-22,55 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.jhin.2020.07.005,Nosocomial transmission prevention of SARS-Cov-2 using a preoperative chest CT: a monocentric study during the outbreak,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303352,J. Touati and G. Rico and P. Habert and M. Gérault and J.-Y. Gaubert and C. Chagnaud and A. Varoquaux,2020-06-12,2020-07-03,2020-07-15,22 days 00:00:00.000000000,"{'France', 'unknown'}"
https://doi.org/10.1016/j.jhin.2020.01.009,Sources of viral respiratory infections in Canadian acute care hospital healthcare personnel,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120300128,S. Buckrell and B.L. Coleman and S.A. McNeil and K. Katz and M.P. Muller and A. Simor and M. Loeb and J. Powis and S.P. Kuster and J.M. Di Bella and K.K.L. Coleman and S.J. Drews and P. Kohler and A. McGeer and T. Hatchette and L. Holness and J. Raboud and J. Langley and T. Mazzulli and K. Nichol and L. Genesove and J. Oudyk and L. McCaskell and N. Johnson,2019-11-18,2020-01-09,2020-01-16,53 days 00:00:00.000000000,"{'Switzerland', 'Canada', 'Sao Tome and Principe'}"
https://doi.org/10.1016/j.jhin.2020.06.030,Autoclave sterilization and ethanol treatment of re-used surgical masks and N95 respirators during COVID-19: impact on their performance and integrity,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303157,S.A. Grinshpun and M. Yermakov and M. Khodoun,2020-05-10,2020-06-22,2020-06-26,44 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/j.jhin.2020.05.023,In-hospital verification of non-CE-marked respiratory protective devices to ensure safety of healthcare staff during the COVID-19 outbreak,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302541,R.A.C. van Wezel and A.C.T. Vrancken and M. Ernest and J. Laurensse and J.P.C.M. van Doornmalen Gomez Hoyos,2020-04-20,2020-05-18,2020-05-20,29 days 00:00:00.000000000,"{'unknown', 'Netherlands'}"
https://doi.org/10.1016/j.jhin.2020.07.012,"COVID-19 Risk Assessments: Shortcomings in the protection of Black, Asian and Minority Ethnic healthcare workers",Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303431,Abdallah Abbas,2020-07-05,2020-07-09,2020-07-15,5 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.jhin.2020.03.017,Hand hygiene and the novel coronavirus pandemic: the role of healthcare workers,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S019567012030116X,N. Lotfinejad and A. Peters and D. Pittet,2020-05-29,2020-05-29,2020-06-12,1 days 00:00:00.000000000,"{'Canada', 'Germany', 'Bangladesh', 'Poland', 'Austria', 'United Kingdom'}"
https://doi.org/10.1016/j.jhin.2020.07.020,"SARS-CoV-2 infection among healthcare workers in a hospital in Madrid, Spain",Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120303510,Inés Suárez García and María José Martínez de Aramayona López and Alberto Sáez Vicente and Paloma Lobo Abascal,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2020.02.002,"Novel coronavirus, poor quarantine, and the risk of pandemic",Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120300487,S. Khan and R. Siddique and A. Ali and M. Xue and G. Nabi,2020-02-04,2020-02-04,2020-02-11,1 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.jhin.2020.05.032,Evidence for decontamination of single-use filtering facepiece respirators,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120302632,A. Polkinghorne and J. Branley,2030-12-12,2030-12-12,2020-07-02,,{'unknown'}
https://doi.org/10.1016/j.jhin.2020.03.036,Risk of nosocomial transmission of coronavirus disease 2019: an experience in a general ward setting in Hong Kong,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120301742,S.C.Y. Wong and R.T-S. Kwong and T.C. Wu and J.W.M. Chan and M.Y. Chu and S.Y. Lee and H.Y. Wong and D.C. Lung,,,2030-12-12,,
https://doi.org/10.1016/j.jhin.2020.01.021,Multiplex PCR implementation as point-of-care testing in a French emergency department,Journal of Hospital Infection,article,http://www.sciencedirect.com/science/article/pii/S0195670120300451,D. Bouzid and J-C. Lucet and X. Duval and N. Houhou-Fidouh and E. Casalino and B. Visseaux and C. Choquet and M. Renoux and V. Ing and E. Dupeyrat and A.-C. Agbessi and S.A. Postic and V. Verry and L.F. Pierrotin and L. Colosi and R. Hellman and A. Ghazali,,,2030-12-12,,
