DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.jinf.2020.06.009,"BK virus infection in allogeneic hematopoietic cell transplantation: An update on pathogenesis, immune responses, diagnosis and treatments",Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S016344532030390X,Anastasia Saade and Jan Styczynski and Simone Cesaro,2019-12-27,2020-06-05,2020-06-08,162 days 00:00:00.000000000,"{'Italy', 'Poland', 'France'}"
https://doi.org/10.1016/j.jinf.2020.02.005,Pyomyositis in the United States 2002–2014,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320300888,Rheanne Maravelas and Thomas A Melgar and Duncan Vos and Neiberg Lima and Sapna Sadarangani,2019-12-06,2020-02-12,2020-03-06,69 days 00:00:00.000000000,"{'United States', 'Singapore'}"
https://doi.org/10.1016/j.jinf.2020.04.040,"Integrated one-day surveillance of antimicrobial use, antimicrobial consumption, antimicrobial resistance, healthcare-associated infection, and antimicrobial resistance burden among hospitalized patients in Thailand",Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320302668,Visanu Thamlikitkul and Pinyo Rattanaumpawan and Rujipas Sirijatuphat and Walaiporn Wangchinda,2019-11-20,2020-04-22,2020-04-30,155 days 00:00:00.000000000,{'Thailand'}
https://doi.org/10.1016/j.jinf.2020.07.002,"A comparison of mortality-related risk factors of COVID-19, SARS, and MERS: A systematic review and meta-analysis",Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304606,Lvliang Lu and Wenyu Zhong and Ziwei Bian and Zhiming Li and Ke Zhang and Boxuan Liang and Yizhou Zhong and Manjiang Hu and Li Lin and Jun Liu and Xi Lin and Yuji Huang and Junying Jiang and Xingfen Yang and Xin Zhang and Zhenlie Huang,2020-04-30,2020-07-01,2020-07-04,63 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.jinf.2020.06.051,Diagnostic accuracy of the FebriDx host response point-of-care test in patients hospitalised with suspected COVID-19,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304321,Tristan W. Clark and Nathan J Brendish and Stephen Poole and Vasanth V. Naidu and Christopher Mansbridge and Nicholas Norton and Helen Wheeler and Laura Presland and Sean Ewings,2020-06-12,2020-06-20,2020-06-21,9 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/j.jinf.2020.06.023,Four point-of-care lateral flow immunoassays for diagnosis of COVID-19 and for assessing dynamics of antibody responses to SARS-CoV-2,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304047,Jhong-Lin Wu and Wen-Pin Tseng and Chien-Hao Lin and Tai-Fen Lee and Ming-Yi Chung and Chien-Hua Huang and Shey-Ying Chen and Po-Ren Hsueh and Shyr-Chyr Chen,2020-05-09,2020-06-01,2020-06-15,24 days 00:00:00.000000000,"{'Taiwan, Province of China'}"
https://doi.org/10.1016/j.jinf.2020.03.006,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: A prospective contact-tracing study,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320301171,Lei Huang and Xiuwen Zhang and Xinyue Zhang and Zhijian Wei and Lingli Zhang and Jingjing Xu and Peipei Liang and Yuanhong Xu and Chengyuan Zhang and Aman Xu,,,2030-12-12,,
https://doi.org/10.1016/j.jinf.2020.06.039,Laboratory characteristics of patients infected with the novel SARS-CoV-2 virus,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304205,Chrysanthi Skevaki and Paraskevi C. Fragkou and Chongsheng Cheng and Min Xie and Harald Renz,2020-02-19,2020-06-09,2020-07-02,112 days 00:00:00.000000000,"{'United States', 'China'}"
https://doi.org/10.1016/j.jinf.2020.05.046,Co-infections in people with COVID-19: a systematic review and meta-analysis,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320303236,Louise Lansbury and Benjamin Lim and Vadsala Baskaran and Wei Shen Lim,2030-12-12,2030-12-12,2020-07-10,,"{'United Kingdom', 'Australia', 'Netherlands', 'Germany'}"
https://doi.org/10.1016/j.jinf.2020.07.019,GEHEP 010 STUDY: PREVALENCE AND DISTRIBUTION OF HEPATITIS B VIRUS GENOTYPES IN SPAIN (2000-2016),Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320304965,Antonio Aguilera and Rocío Trastoy and Francisco Rodríguez-Frias and Juan Luis Muñoz-Bellido and Santiago Melón and Adelina Suárez and Antonio Orduña and Isabel Viciana and Bernal S. Samuel and Silvia García-Bujalance and Natalia Montiel and José Manuel Molina and Miren Basaras and Felipe Fernández-Cuenca and Isabel García-Arata and Gabriel Reina and María Dolores Ocete and Ana Fuentes and Daniel Navarro de la Cruz and Leonardo Nieto and Ana Blázquez de Castro and María Buti and Marta Álvarez and Federico García,,,2030-12-12,,
https://doi.org/10.1016/j.jinf.2020.03.040,Household transmission of SARS-CoV-2,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320301699,Zhongliang Wang and Wanli Ma and Xin Zheng and Gang Wu and Ruiguang Zhang,2020-07-01,2020-07-01,2020-07-20,1 days 00:00:00.000000000,"{'Italy', 'unknown'}"
https://doi.org/10.1016/j.jinf.2020.03.005,Clinical features of COVID-19 in elderly patients: A comparison with young and middle-aged patients,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S016344532030116X,Kai Liu and Ying Chen and Ruzheng Lin and Kunyuan Han,,,2030-12-12,,
https://doi.org/10.1016/j.jinf.2020.03.058,Evolutionary analysis of SARS-CoV-2: how mutation of Non-Structural Protein 6 (NSP6) could affect viral autophagy,Journal of Infection,article,http://www.sciencedirect.com/science/article/pii/S0163445320301869,Domenico Benvenuto and Silvia Angeletti and Marta Giovanetti and Martina Bianchi and Stefano Pascarella and Roberto Cauda and Massimo Ciccozzi and Antonio Cassone,2020-03-27,2020-03-28,2020-04-10,2 days 00:00:00.000000000,{'Italy'}
