DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.mehy.2020.110021,Potential role of shear wave elastography features in medullary breast cancer differentiation,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720304631,I. Biondić Špoljar and G. Ivanac and N. Radović and E. Divjak and B. Brkljačić,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.109990,"Hypothesis validation of rosiglitazone a potential inhibitor against glycogen synthase kinase-3β, for the management of multifaceted pathophysiology of the diabetic wound: An insilico study",Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720305442,Tajuddin Mohammed and Bharat Kumar Reddy Sanapalli and Sayyada Saleha Momina and Rakesh Kumar Jat and Nagakanyaka Devi Paladugu,2020-03-27,2020-06-09,2020-06-13,75 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/j.mehy.2020.110132,The distribution of chondromas: why the hand?,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720309762,Nigora Z. Nazarova and Gulrukh Sh. Umarova and Michael Vaiman and Michael Abba and Maya Foonberg and Kadri Mametov and Michael Shterenshis,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.109995,Intelligence quotient level and treatment of obsessive-compulsive disorders: Meta-analyses,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720312020,Lidan Hu and Youguo Hao and Shudong Liu and Hongying Kang and Li Qin and Zhen Zeng and Mohamed E.A. Abdelrahim and Youguo Tan,2020-05-08,2020-06-11,2020-06-13,35 days 00:00:00.000000000,"{'Egypt', 'China'}"
https://doi.org/10.1016/j.mehy.2020.110077,A capital role for the brain’s insula in the diverse fibromyalgia-associated symptoms,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720309361,Boel De Paepe and Joél Smet and Chris Baeken and Jessica Van Oosterwijck and Mira Meeus,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110056,Rethinking carcinogenesis: The detached pericyte hypothesis,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720313359,Stuart G. Baker,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110086,Does COVID-19 cause permanent damage to olfactory and gustatory function?,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720318922,Gamba Paolo,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.109997,A physicist's approach to COVID-19 transmission via expiratory droplets,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720311853,Pasquale Carelli,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.109998,Localized peripheral autonomous neuropathy and dysfunctional myoepithelial cells: A novel hypothesis for xerostomia in oral submucous fibrosis,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720312305,Gargi S. Sarode and Sachin C. Sarode and Amol Gadbail and Shailesh Gondivkar and Shankargouda Patil,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110038,The possible role of a bacterial aspartate β-decarboxylase in the biosynthesis of alamandine,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720308446,Shalinee Jha and Robert C. Speth and Peter Macheroux,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110116,Prior infection with intestinal coronaviruses moderates symptom severity and mortality in patients with COVID-19: A hypothesis and preliminary evidence,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720321642,Ravi Philip Rajkumar,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110119,The early diagnosis of fibromyalgia in irritable bowel syndrome patients,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720318478,Muhammed Zubeyr Üçüncü and Bestegül Çoruh Akyol and Dilek Toprak,2019-07-12,2020-05-26,2020-06-17,320 days 00:00:00.000000000,{'Germany'}
https://doi.org/10.1016/j.mehy.2020.110048,The neuropathological basis of anxiety in Parkinson’s disease,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720316455,Paul G. Overton and Veronique Coizet,2030-12-12,2030-12-12,2017-07-10,,"{'United Kingdom', 'unknown'}"
https://doi.org/10.1016/j.mehy.2020.110039,SARS-CoV-2 and the sympathetic immune response: Dampening inflammation with antihypertensive drugs (Clonidine and Propranolol),Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720314274,Sanjiv K Hyoju and Olga Zaborina and Harry van Goor,,,2030-12-12,,
https://doi.org/10.1016/j.mehy.2020.110083,The hypothesis that SARS-CoV-2 affects male reproductive ability by regulating autophagy,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720318910,Jun Sun,2020-06-22,2020-07-04,2020-07-10,13 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.mehy.2020.110089,EMMPRIN/BASIGIN as a biological modulator of oral cancer and COVID-19 interaction: Novel propositions,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720319721,Saranya Varadarajan and Thodur Madapusi Balaji and Sachin C. Sarode and Gargi S. Sarode and Nilesh K. Sharma and Shailesh Gondivkar and Amol Gadbail and Shankargouda Patil,2020-06-26,2020-07-05,2020-07-09,10 days 00:00:00.000000000,"{'India', 'Slovenia', 'Saudi Arabia'}"
https://doi.org/10.1016/j.mehy.2020.110034,Treat liver to beat diabetes,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720317941,Shivani M. Desai and Avinash P. Sanap and Ramesh R. Bhonde,2030-12-12,2030-12-12,2030-12-12,,{'India'}
https://doi.org/10.1016/j.mehy.2020.110102,SARS-CoV-2 infection pathogenesis is related to oxidative stress as a response to aggression,Medical Hypotheses,article,http://www.sciencedirect.com/science/article/pii/S0306987720317540,Rubens Cecchini and Alessandra Lourenço Cecchini,,,2030-12-12,,
