DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S0262-4079(20)30862-9,An uncommon cold,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920308629,Anthony King,2030-12-12,2030-12-12,2020-07-22,,{'Italy'}
https://doi.org/10.1016/S0262-4079(20)30973-8,An evolving crisis,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309738,Jonathan R. Goodman,2030-12-12,2030-12-12,2020-07-15,,{'Uganda'}
https://doi.org/10.1016/S0262-4079(20)30899-X,Best behaviour,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S026240792030899X,Graham Lawton,2020-02-20,2020-06-30,2020-07-23,132 days 00:00:00.000000000,"{'Australia', 'United States'}"
https://doi.org/10.1016/S0262-4079(20)30731-4,The fever paradox,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920307314,Linda Geddes,2030-12-12,2030-12-12,2020-04-10,,{'United Kingdom'}
https://doi.org/10.1016/S0262-4079(20)30965-9,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309659,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30856-3,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920308563,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30723-5,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920307235,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)31141-6,The enduring grip of covid-19,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311416,Linda Geddes,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30999-4,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309994,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30646-1,You're only as young as your immune system,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920306461,Graham Lawton,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31292-6,Feeling the heat,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312926,Adam Vaughan,2020-02-27,2020-06-08,2020-06-30,103 days 00:00:00.000000000,{'Germany'}
https://doi.org/10.1016/S0262-4079(20)31135-0,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311350,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)31107-6,Stick to the plan,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311076,Graham Lawton,2030-12-12,2030-12-12,2020-07-03,,{'China'}
https://doi.org/10.1016/S0262-4079(20)31004-6,“This is our chance to start bending the climate curve”,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310046,Graham Lawton,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31175-1,Dominate or influence?,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311751,Emma Young,2030-12-12,2030-12-12,2020-07-23,,{'United States'}
https://doi.org/10.1016/S0262-4079(20)31244-6,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312446,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)31034-4,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310344,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)31101-5,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311015,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
