DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S0262-4079(20)30973-8,An evolving crisis,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309738,Jonathan R. Goodman,2030-12-12,2030-12-12,2020-07-15,,{'Uganda'}
https://doi.org/10.1016/S0262-4079(20)30899-X,Best behaviour,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S026240792030899X,Graham Lawton,2020-02-20,2020-06-30,2020-07-23,132 days 00:00:00.000000000,"{'Australia', 'United States'}"
https://doi.org/10.1016/S0262-4079(20)30783-1,Q & A,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920307831,Amee Baird,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30731-4,The fever paradox,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920307314,Linda Geddes,2030-12-12,2030-12-12,2020-04-10,,{'United Kingdom'}
https://doi.org/10.1016/S0262-4079(20)30645-X,Scroll down to be a better friend,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S026240792030645X,Amelia Tait,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30508-X,Undercover with online extremists,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S026240792030508X,Helen Thomson,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31141-6,The enduring grip of covid-19,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311416,Linda Geddes,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30864-2,Here. There. Everywhere?,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920308642,Michael Brooks,2019-12-20,2020-06-19,2020-07-21,183 days 00:00:00.000000000,{'Canada'}
https://doi.org/10.1016/S0262-4079(20)31290-2,The dark matter in your diet,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312902,Graham Lawton,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30646-1,You're only as young as your immune system,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920306461,Graham Lawton,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31004-6,“This is our chance to start bending the climate curve”,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310046,Graham Lawton,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31250-1,"“If we do it wisely, AI can be the best thing ever for humanity”",New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312501,Richard Webb,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31177-5,Seeing the dark,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311775,Adam Mann,2019-06-20,2020-05-25,2020-06-15,341 days 00:00:00.000000000,{'Hong Kong'}
https://doi.org/10.1016/S0262-4079(20)30266-9,“Insane places”,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920302669,Susannah Cahalan,2017-03-15,2017-03-22,2017-03-30,8 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S0262-4079(20)30460-7,Enemies within,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920304607,Carrie Arnold,2020-04-14,2020-07-06,2020-07-22,84 days 00:00:00.000000000,{'Japan'}
https://doi.org/10.1016/S0262-4079(20)30772-7,Discover your inner strength,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920307727,Helen Thomson,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30324-9,Q & A,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920303249,Elizabeth Sandel,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)30934-9,May the fifth force be with you,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309349,Daniel Cossins,2019-10-13,2019-12-11,2019-12-20,60 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30732-6,Little green alien invaders,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920307326,Graham Lawton,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31251-3,Supercrops!,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312513,Larissa Fedunik,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31073-3,Fusion of minds,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310733,Abigail Beall,2019-04-12,2020-04-23,2020-06-03,378 days 00:00:00.000000000,"{'Germany', 'United States', 'Chile'}"
https://doi.org/10.1016/S0262-4079(20)31291-4,Analogue comeback,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312914,Anna Demming,2014-05-23,2014-09-23,2014-09-28,124 days 00:00:00.000000000,{'Germany'}
https://doi.org/10.1016/S0262-4079(20)31142-8,Sparks will fly,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311428,Aisling Irwin,,,2030-12-12,,
