DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S2214-109X(20)30135-2,Softening the blow of the pandemic: will the International Monetary Fund and World Bank make things worse?,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301352,Alexander Kentikelenis and Daniela Gabor and Isabel Ortiz and Thomas Stubbs and Martin McKee and David Stuckler,2020-03-30,2020-04-03,2020-04-09,5 days 00:00:00.000000000,"{'Italy', 'United Kingdom', 'United States'}"
https://doi.org/10.1016/S2214-109X(20)30127-3,"Physical multimorbidity, health service use, and catastrophic health expenditure by socioeconomic groups in China: an analysis of population-based panel data",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301273,Yang Zhao and Rifat Atun and Brian Oldenburg and Barbara McPake and Shenglan Tang and Stewart W Mercer and Thomas E Cowling and Grace Sum and Vicky Mengqi Qin and John Tayu Lee,2019-08-30,2020-03-30,2020-03-30,214 days 00:00:00.000000000,"{'United Kingdom', 'Australia', 'United States', 'Singapore', 'China'}"
https://doi.org/10.1016/S2214-109X(20)30329-6,Contextualising geographical vulnerability to COVID-19 in India,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20303296,Sanjay K Mohanty,2020-07-06,2020-07-07,2020-07-16,2 days 00:00:00.000000000,{'India'}
https://doi.org/10.1016/S2214-109X(20)30103-0,A new vehicle to accelerate the UN Sustainable Development Goals,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301030,Lorraine Sherr and Lucie Cluver and Chris Desmond and Elona Toska and Larry Aber and Mandeep Dhaliwal and Douglas Webb and Justina Dugbazah,2020-02-27,2020-03-06,2020-03-06,9 days 00:00:00.000000000,"{'United Kingdom', 'South Africa', 'United States'}"
https://doi.org/10.1016/S2214-109X(20)30252-7,Human rights protections are needed alongside PPE for health-care workers responding to COVID-19,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302527,Joseph J Amon,2020-05-07,2020-05-11,2020-05-25,5 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S2214-109X(20)30191-1,Answering the right questions for policymakers on COVID-19,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301911,Ellie Graeden and Colin Carlson and Rebecca Katz,2020-04-07,2020-04-09,2020-04-21,3 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S2214-109X(20)30220-5,Nicaragua's response to COVID-19 – Authors' reply,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302205,Mateo C Jarquín and Andrea M Prado and Benjamin Gallo Marin,2020-04-17,2020-04-20,2020-04-30,4 days 00:00:00.000000000,"{'Costa Rica', 'United States'}"
https://doi.org/10.1016/S2214-109X(20)30131-5,Love in the time of COVID-19: negligence in the Nicaraguan response,The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20301315,Thais P Salazar Mather and Benjamin Gallo Marin and Giancarlo Medina Perez and Briana Christophers and Marcelo L Paiva and Rocío Oliva and Baraa A Hijaz and Andrea M Prado and Mateo C Jarquín and Katelyn Moretti and Catalina González Marqués and Alejandro Murillo and Elizabeth Tobin-Tyler,2020-03-25,2020-03-27,2020-04-06,3 days 00:00:00.000000000,"{'Costa Rica', 'United States'}"
https://doi.org/10.1016/S2214-109X(20)30288-6,"Potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria in low-income and middle-income countries: a modelling study",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302886,Alexandra B Hogan and Britta L Jewell and Ellie Sherrard-Smith and Juan F Vesga and Oliver J Watson and Charles Whittaker and Arran Hamlet and Jennifer A Smith and Peter Winskill and Robert Verity and Marc Baguelin and John A Lees and Lilith K Whittles and Kylie E C Ainslie and Samir Bhatt and Adhiratha Boonyasiri and Nicholas F Brazeau and Lorenzo Cattarino and Laura V Cooper and Helen Coupland and Gina Cuomo-Dannenburg and Amy Dighe and Bimandra A Djaafara and Christl A Donnelly and Jeff W Eaton and Sabine L van Elsland and Richard G FitzJohn and Han Fu and Katy A M Gaythorpe and William Green and David J Haw and Sarah Hayes and Wes Hinsley and Natsuko Imai and Daniel J Laydon and Tara D Mangal and Thomas A Mellan and Swapnil Mishra and Gemma Nedjati-Gilani and Kris V Parag and Hayley A Thompson and H Juliette T Unwin and Michaela A C Vollmer and Caroline E Walters and Haowei Wang and Yuanrong Wang and Xiaoyue Xi and Neil M Ferguson and Lucy C Okell and Thomas S Churcher and Nimalan Arinaminpathy and Azra C Ghani and Patrick G T Walker and Timothy B Hallett,2020-05-18,2020-06-18,2020-07-13,32 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/S2214-109X(20)30264-3,"Global, regional, and national estimates of the population at increased risk of severe COVID-19 due to underlying health conditions in 2020: a modelling study",The Lancet Global Health,article,http://www.sciencedirect.com/science/article/pii/S2214109X20302643,Andrew Clark and Mark Jit and Charlotte Warren-Gash and Bruce Guthrie and Harry H X Wang and Stewart W Mercer and Colin Sanderson and Martin McKee and Christopher Troeger and Kanyin L Ong and Francesco Checchi and Pablo Perel and Sarah Joseph and Hamish P Gibbs and Amitava Banerjee and Rosalind M Eggo and Emily S Nightingale and Kathleen O'Reilly and Thibaut Jombart and W John Edmunds and Alicia Rosello and Fiona Yueqian Sun and Katherine E Atkins and Nikos I Bosse and Samuel Clifford and Timothy W Russell and Arminder K Deol and Yang Liu and Simon R Procter and Quentin J Leclerc and Graham Medley and Gwen Knight and James D Munday and Adam J Kucharski and Carl A B Pearson and Petra Klepac and Kiesha Prem and Rein M G J Houben and Akira Endo and Stefan Flasche and Nicholas G Davies and Charlie Diamond and Kevin van Zandvoort and Sebastian Funk and Megan Auzenbergs and Eleanor M Rees and Damien C Tully and Jon C Emery and Billy J Quilty and Sam Abbott and Ch Julian Villabona-Arenas and Stéphane Hué and Joel Hellewell and Amy Gimma and Christopher I Jarvis,2020-04-13,2020-05-29,2020-06-15,47 days 00:00:00.000000000,"{'China', 'United Kingdom', 'United States'}"
