DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S2213-2600(19)30263-2,"The Lancet Respiratory Medicine Commission: 2019 update: epidemiology, pathogenesis, transmission, diagnosis, and management of multidrug-resistant and incurable tuberculosis",The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260019302632,Keertan Dheda and Tawanda Gumbo and Gary Maartens and Kelly E Dooley and Megan Murray and Jennifer Furin and Edward A Nardell and Robin M Warren and Keertan Dheda and Tawanda Gumbo and Gary Maartens and Kelly E Dooley and Aliasgar Esmail and Megan Murray and Jennifer Furin and Edward Nardell and Leslie London and Erica Lessem and Jason Limberis and Grant Theron and Ruth McNerney and Stefan Niemann and David Dowdy and Annelies Van Rie and Jotam G Pasipanodya and Camilla Rodrigues and Taane G Clark and Frik A Sirgel and H Simon Schaaf and Kwok Chiu Chang and Christoph Lange and Payam Nahid and Bernard Fourie and Norbert Ndjeka and Andrew Nunn and GB Migliori and Zarir F Udwadia and C Robert Horsburgh and Gavin J Churchyard and Dick Menzies and Anneke C Hesseling and James A Seddon and Marcus Low and Salmaan Keshavjee and Eric Nuermberger and Helen McIlleron and Kevin P Fennelly and Amina Jindani and Ernesto Jaramillo and Nesri Padayatchi and Clifton E Barry and Robin M Warren,2019-07-18,2019-07-25,2019-07-25,8 days 00:00:00.000000000,"{'United Kingdom', 'South Africa', 'United States'}"
https://doi.org/10.1016/S2213-2600(19)30138-9,"Personalised mechanical ventilation tailored to lung morphology versus low positive end-expiratory pressure for patients with acute respiratory distress syndrome in France (the LIVE study): a multicentre, single-blind, randomised controlled trial",The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260019301389,Jean-Michel Constantin and Matthieu Jabaudon and Jean-Yves Lefrant and Samir Jaber and Jean-Pierre Quenot and Olivier Langeron and Martine Ferrandière and Fabien Grelon and Philippe Seguin and Carole Ichai and Benoit Veber and Bertrand Souweine and Thomas Uberti and Sigismond Lasocki and François Legay and Marc Leone and Nathanael Eisenmann and Claire Dahyot-Fizelier and Hervé Dupont and Karim Asehnoune and Achille Sossou and Gérald Chanques and Laurent Muller and Jean-Etienne Bazin and Antoine Monsel and Lucile Borao and Jean-Marc Garcier and Jean-Jacques Rouby and Bruno Pereira and Emmanuel Futier and Cayot Sophie and Godet Thomas and Guerin Renaud and Verlac Camille and Chabanne Russel and Cosserant Bernard and Blondonnet Raiko and Lautrette Alexandre and Eisenmann Nathanael and Muller Laurent and Massanet Pablo and Boutin Caroline and Barbar Saber and Roger Claire and Belafia Fouad and Cisse Moussa and Monnin Marion and Conseil Matthieu and Carr Julie and De Jong Audrey and Dargent Auguste and Andreu Pascal and Lebouvrier Thomas and Launey Yoann and Roquilly Antoine and Cinotti Raphael and Boutin Caroline and Tellier Anne-Charlotte and Barbaz Mathilde and Cohen Benjamin and Lemarche Edouard and Bertrand Pierre-Marie and Arberlot Charlotte and Zieleskiewicz Laurent and Hammad Emmanuelle and Duclos Garry and Mathie Calypso and Dupont Herve and Veber Benoit and Orban Jean-Christophe and Quintard Hervé and Rimmele Thomas and Crozon-Clauzel Julien and Le Core Marinne and Grelon Fabien and Assefi Mona and Petitas Frank and Morel Jerome and Molliex Serge and Hadanou Nanadougmar,2018-11-16,2019-03-11,2019-08-06,116 days 00:00:00.000000000,{'France'}
https://doi.org/10.1016/S2213-2600(19)30251-6,"Live-attenuated Mycobacterium tuberculosis vaccine MTBVAC versus BCG in adults and neonates: a randomised controlled, double-blind dose-escalation trial",The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260019302516,Michele Tameris and Helen Mearns and Adam Penn-Nicholson and Yolande Gregg and Nicole Bilek and Simbarashe Mabwe and Hennie Geldenhuys and Justin Shenje and Angelique Kany Kany Luabeya and Ingrid Murillo and Juana Doce and Nacho Aguilo and Dessislava Marinova and Eugenia Puentes and Esteban Rodríguez and Jesús Gonzalo-Asensio and Bernard Fritzell and Jelle Thole and Carlos Martin and Thomas J Scriba and Mark Hatherill and Hadn Africa and Denis Arendsen and Natasja Botes and Yolundi Cloete and Marwou De Kock and Margaret Erasmus and Lungisa Jack and Fazlin Kafaar and Xoliswa Kalepu and Nondumiso Gloria Khomba and Sandra Kruger and Thelma Leopeng and Lebohang Makhethe and Angelique Mouton and Humphrey Mulenga and Munyaradzi Musvosvi and Julia Noble and Fajwa Opperman and Tim Reid and Susan Rossouw and Constance Schreuder and Erica Smit and Marcia Steyn and Petrus Tyambethu and Elma Van Rooyen and Ashley Veldsman,2019-03-03,2019-06-26,2019-08-12,116 days 00:00:00.000000000,"{'South Africa', 'Netherlands', 'Spain'}"
https://doi.org/10.1016/S2213-2600(19)30372-8,"Effect of fixed-dose subcutaneous reslizumab on asthma exacerbations in patients with severe uncontrolled asthma and corticosteroid sparing in patients with oral corticosteroid-dependent asthma: results from two phase 3, randomised, double-blind, placebo-controlled trials",The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260019303728,Jonathan A Bernstein and J Christian Virchow and Kevin Murphy and Jorge Fernando Maspero and Joshua Jacobs and Yochai Adir and Marc Humbert and Mario Castro and Douglas A Marsteller and Jennifer McElhattan and Lisa Hickey and Margaret Garin and Rebecca Vanlandingham and Guy Brusselle,2019-06-25,2019-10-03,2020-02-14,101 days 00:00:00.000000000,"{'Netherlands', 'Germany', 'Israel', 'United States', 'Argentina', 'France'}"
https://doi.org/10.1016/S2213-2600(20)30179-X,"Lung recruitment before surfactant administration in extremely preterm neonates with respiratory distress syndrome (IN-REC-SUR-E): a randomised, unblinded, controlled trial",The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S221326002030179X,Giovanni Vento and Maria Luisa Ventura and Roberta Pastorino and Anton H van Kaam and Virgilio Carnielli and Filip Cools and Carlo Dani and Fabio Mosca and Graeme Polglase and Paolo Tagliabue and Luca Boni and Francesco Cota and Milena Tana and Chiara Tirone and Claudia Aurilia and Alessandra Lio and Simonetta Costa and Vito D'Andrea and Mariella Lucente and Gabriella Nigro and Lucio Giordano and Vincenzina Roma and Paolo E Villani and Francesca P Fusco and Valeria Fasolato and Maria Rosa Colnaghi and Piero G Matassa and Valentina Vendettuoli and Chiara Poggi and Antonio Del Vecchio and Flavia Petrillo and Pasqua Betta and Carmine Mattia and Giampaolo Garani and Agostina Solinas and Eloisa Gitto and Vincenzo Salvo and Giancarlo Gargano and Eleonora Balestri and Fabrizio Sandri and Giovanna Mescoli and Stefano Martinelli and Laura Ilardi and Elena Ciarmoli and Sandra Di Fabio and Eugenia Maranella and Carolina Grassia and Gaetano Ausanio and Vincenzo Rossi and Angela Motta and Lucia G Tina and Kim Maiolo and Stefano Nobile and Hubert Messner and Alex Staffler and Federica Ferrero and Ilaria Stasi and Luisa Pieragostini and Isabella Mondello and Cristina Haass and Chiara Consigli and Stefania Vedovato and Alessandra Grison and Gianfranco Maffei and Giuseppe Presta and Roberto Perniola and Marcello Vitaliti and Maria P Re and Mario De Curtis and Viviana Cardilli and Paola Lago and Francesca Tormena and Luigi Orfeo and Camilla Gizzi and Luca Massenzi and Diego Gazzolo and Maria Chiara M Strozzi and Roberto Bottino and Federica Pontiggia and Alberto Berardi and Isotta Guidotti and Caterina Cacace and Valerio Meli and Lorenzo Quartulli and Antonio Scorrano and Alessandra Casati and Lidia Grappone and J Jane Pillow,2020-02-24,2020-04-06,2020-07-17,43 days 00:00:00.000000000,"{'Italy', 'Australia', 'Netherlands', 'Belgium'}"
https://doi.org/10.1016/S2213-2600(20)30011-4,Expression quantitative trait locus fine mapping of the 17q12–21 asthma locus in African American children: a genetic association and gene expression study,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020300114,"Carole Ober and Chris G McKennan and Kevin M Magnaye and Matthew C Altman and Charles Washington and Catherine Stanhope and Katherine A Naughton and Mario G Rosasco and Leonard B Bacharier and Dean Billheimer and Diane R Gold and Lisa Gress and Tina Hartert and Suzanne Havstad and Gurjit K Khurana Hershey and Brian Hallmark and D Kyle Hogarth and Daniel J Jackson and Christine C Johnson and Meyer Kattan and Robert F Lemanske and Susan V Lynch and Eneida A Mendonca and Rachel L Miller and Edward T Naureckas and George T O'Connor and Christine M Seroogy and Ganesa Wegienka and Steven R White and Robert A Wood and Anne L Wright and Edward M Zoratti and Fernando D Martinez and Dennis Ownby and Dan L Nicolae and Albert M Levin and James E Gern and Niek Achten and John Ainsworth and Nonna Akkerman and Elizabeth Anderson and Larry J. Anderson and Howard Andrews and Elizabeth Armagost and Mary Ann Aubuchon and Julia Bach and Leonard Bacharier and Kathrine L. Barnes and Charles Barone and Irma Bauer and Paloma Beamer and Patrice Becker and Alyssa Bednarek and Stacey Bellemore and Casper G. Bendixsen and Jocelyn M. Biagini Myers and Dean Billheimer and Christine Billstrand and Geraldine Birg and Shirley Blocki and Gordon Bloomberg and Kevin Bobbitt and Yury Bochkov and Karen Bourgeois and Homer Boushey and Rebecca Brockman-Schneider and Steven M. Brunwasser and Richard Budrevich and Jeffrey W. Burkle and William Busse and Agustin Calatroni and Janice Campbell and Kirsten Carlson-Dakes and Andrea Cassidy-Bushrow and James D. Chappell and Deborah Chasman and Teresa M. Chipps and Tatiana Chirkova and Deanna Cole and Alexandra Connolly and Michelle Cootauco and Michelle Cootauco and Kaitlin Costello and Philip Couch and Brent Coull and Mark Craven and Gina Crisafi and William Cruikshank and Kristi Curtsinger and Adnan Custovic and Suman R. Das and Douglas DaSilva and Soma Datta and Brent Davidson and Lydia De La Ossa and Mark DeVries and Qian Di and Samara Dixon and Erin Donnerbauer and Marian Dorst and Susan Doyle and Amy Dresen and William D. Dupont and Janet Durrange and Heidi Erickson and Michael D. Evans and Jerel Ezell and Leanna Farnham and Roxanne Filardo-Collins and Salvatore Finazzo and Zachary Flege and Conner Fleurat and Heather Floerke and Dorothy Floerke and Terry Foss and Angela Freie and Wayne Frome and Samantha Fye and Lisa Gagalis and Rebecca Gammell and Ronald E. Gangnon and James E. Ge and Tebeb Gebretsadik and Peter Gergen and James E. Gern and Heike Gibson and Edlira Gjerasi and Diane R. Gold and Nicole Gonzalez and Kayla Goodman and Lisa Gress and Kristine Grindle and Taylor Groeschen and Brian Hallmark and Marilyn Halonen and Jaime Hart and Tina V. Hartert and Suzanne Havstad and Patrick Heinritz and Sharon Hensley Alford and Julie Herbstman and Kellie Hernandez and Lori Hoepner and Daniel J. Jackson and Samadhan J. Jadhao and Katy Jaffee and Peter James and Jacqueline Jezioro and Marcia Jimenez Pescador and Christine C. Johnson and Tara Johnson and Camille Johnson and Amelia Jones and Kyra Jones and Paul Jones and Carolina Jordan and Christine LM Joseph and Meyer Kattan and Kristina Keidel and Matthew C. Keifer and Rick Kelley and Gurgit K. Khurana Hershey and Haejin Kim and Itai Kloog and Tammy Kronenwetter Koepel and Clint Koerkenmeier and Laura Ladick and Carin Lamm and Emma Larkin and Howard Lederman and Aviva Lee-Parritz and Stephanie Leimenstoll and Robert F. Lemanske, Jr. and Grace K. LeMasters and Albert M. Levin and Jessica Levine and Xinhua Liu and Zhouwen Liu and Silvia Lopez and Nathan Lothrop and Stephanie Lovinsky-Desir and Nicholas Lukacs and Susan Lynch and Christian Lynch and Erik Mann and Jennifer Martin and Lisa Martin and Fernando D. Martinez and Elizabeth Matsui and Katherine McCauley and Megan Mccollum and Judith McCullough and Chris G. McKennon and Jennifer Meece and Eneida Mendonca and Lance Mikus and Rachel L. Miller and Patricia Minton and Herman Mitchell and Vicki Moon and Paul E. Moore and Wayne Morgan and Valerie Morgan and David Morgan and Liza Murrison and Charlotte Nicholas and Daniel Nicolae and Adam Nunez and George O'Connor and Sharon O'Toole and Carole Ober and Brent F. Olson and Irene Ong and Sarah Osmundson and Dennis Ownby and Tressa Pappas and Frederica Perera and Matthew Perzanowski and Edward Peterson and Marcela Pierce and Penny Price-Johnson and Victoria Rajamanickam and Judyth Ramirez and Kimberly Ray and Megan Renneberg and Weeberb Requia and Kylie Riley and Janelle Rivera and Neisha Rivers and Kathy Roberg and Theresa Rogers and Christian Rosas-Salazar and Pat Russell and Patrick H. Ryan and Yoel Sadovsky and Lisa Salazar and Hugh Sampson and Megan Sandel and Nathan Schoettler and Joel Schwartz and Dena Scott and Christine M. Seroogy and Renee Sharp and Meghan H. Shilts and Steve Sigelman and Anne Marie Singh and Alexandra Sitarik and Ernestine Smartt and Ronald Sorkness and Christine Sorkness and Amber Spangenberg and Rhoda Sperling and David Spies and Debra A. Stern and Brandy Stoffel and R. Stokes Peebles and Gina Stouffer and Cathey Strauchman Boyer and Caitlin Suddeuth and Umberto Tachinardi and Deliang Tang and Zhengzheng Tang and Jena Tate and William Taylor and Krista Tensing and Elizabeth Tesson and Kathy Thompson and Emma Thompson and Christopher Tisler and Alkis Togias and Kedir Turi and Victoria Turner and Marina Tuzova and Jeffrey J. VanWormer and Cynthia M. Visness and Rose Vrtis and Anthony Wahlman and Lena Wang and Ganesa Wegienka and Karen Wells and William Wentworth-Sheilds and Lisa Wheatley and Nitsa Whitney and L. Keoki Williams and Frank Witter and Christopher Wolfe and Robert A. Wood and Kimberley Woodcroft and Kim B. Woodward and Anne L. Wright and Rosalind Wright and Pingsheng Wu and Melissa Yaeger and Perri Yaniv and Antonella Zanobetti and Shirley Zhang and Patricia Zook and Edward M. Zoratti",2019-10-30,2020-01-13,2020-01-13,76 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S2213-2600(20)30310-6,Gender equity in interstitial lung disease,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020303106,Leticia Kawano-Dourado and Marilyn K Glassberg and Maria Molina-Molina and Mary E Strek and Marlies Wijsenbeek and Kerri A Johannson,2020-06-19,2020-06-22,2020-07-17,4 days 00:00:00.000000000,"{'Netherlands', 'Spain', 'United States', 'Brazil', 'Canada'}"
https://doi.org/10.1016/S2213-2600(20)30240-X,The future of critical care: lessons from the COVID-19 crisis,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S221326002030240X, The Lancet Respiratory Medicine,2020-03-24,2020-03-25,2020-05-27,2 days 00:00:00.000000000,{'United Arab Emirates'}
https://doi.org/10.1016/S2213-2600(19)30402-3,"Continuous positive airway pressure versus standard care for the treatment of people with mild obstructive sleep apnoea (MERGE): a multicentre, randomised controlled trial",The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260019304023,Alison J Wimms and Julia L Kelly and Christopher D Turnbull and Alison McMillan and Sonya E Craig and John F O'Reilly and Annabel H Nickol and Emma L Hedley and Meredith D Decker and Leslee A Willes and Peter M A Calverley and Adam V Benjafield and John R Stradling and Mary J Morrell and Alison J Wimms and Julia L Kelly and Christopher D Turnbull and Alison McMillan and Sonya E Craig and John F O'Reilly and Annabel H Nickol and Sophie D West and Anita K Simonds and Shirmila Withana and Justin CT Pepperell and Neil R Ward and Brian D Kent and Timothy Quinnell and Mohammad Paracha and William Anderson and Emma L Hedley and Meredith D Decker and Leslee A Willes and Peter M A Calverley and Adam V Benjafield and John R Stradling and Mary J Morrell,2019-08-27,2019-10-14,2019-12-02,49 days 00:00:00.000000000,"{'United Kingdom', 'Australia', 'United States'}"
https://doi.org/10.1016/S2213-2600(20)30225-3,Pulmonary fibrosis and COVID-19: the potential role for antifibrotic therapy,The Lancet Respiratory Medicine,article,http://www.sciencedirect.com/science/article/pii/S2213260020302253,Peter M George and Athol U Wells and R Gisli Jenkins,2020-04-07,2020-04-30,2020-05-15,24 days 00:00:00.000000000,{'United Kingdom'}
