DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S1473-3099(20)30270-X,Baricitinib for COVID-19: a suitable treatment? – Authors' reply,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S147330992030270X,Peter J Richardson and Mario Corbellino and Justin Stebbing,2020-03-27,2020-03-27,2020-04-03,1 days 00:00:00.000000000,"{'United Kingdom', 'Italy'}"
https://doi.org/10.1016/S1473-3099(19)30347-0,Confronting the persisting threat of the Middle East respiratory syndrome to global health security,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309919303470,Stanley Perlman and Esam I Azhar and Ziad A Memish and David S Hui and Alimuddin Zumla,2019-04-24,2019-06-12,2019-07-03,50 days 00:00:00.000000000,"{'United Kingdom', 'United States', 'Saudi Arabia', 'Hong Kong'}"
https://doi.org/10.1016/S1473-3099(20)30364-9,SARS-CoV-2 shedding and seroconversion among passengers quarantined after disembarking a cruise ship: a case series,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920303649,Ivan Fan-Ngai Hung and Vincent Chi-Chung Cheng and Xin Li and Anthony Raymond Tam and Derek Ling-Lung Hung and Kelvin Hei-Yeung Chiu and Cyril Chik-Yan Yip and Jian-Piao Cai and Deborah Tip-Yin Ho and Shuk-Ching Wong and Sally Sau-Man Leung and Man-Yee Chu and Milky Oi-Yan Tang and Jonathan Hon-Kwan Chen and Rosana Wing-Shan Poon and Agnes Yim-Fong Fung and Ricky Ruiqi Zhang and Erica Yuen-Wing Yan and Lin-Lei Chen and Charlotte Yee-Ki Choi and Kit-Hang Leung and Tom Wai-Hin Chung and Sonia Hiu-Yin Lam and Tina Poy-Wing Lam and Jasper Fuk-Woo Chan and Kwok-Hung Chan and Tak-Chiu Wu and Pak-Leung Ho and Johnny Wai-Man Chan and Chak-Sing Lau and Kelvin Kai-Wang To and Kwok-Yung Yuen,2020-03-20,2020-04-17,2020-06-12,29 days 00:00:00.000000000,{'Hong Kong'}
https://doi.org/10.1016/S1473-3099(20)30461-8,Need for sustainable biobanking networks for COVID-19 and other diseases of epidemic potential,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920304618,Rosanna W Peeling and Debrah Boeras and Annelies Wilder-Smith and Amadou Sall and John Nkengasong,,,2030-12-12,,
https://doi.org/10.1016/S1473-3099(20)30243-7,Estimates of the severity of coronavirus disease 2019: a model-based analysis,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920302437,Robert Verity and Lucy C Okell and Ilaria Dorigatti and Peter Winskill and Charles Whittaker and Natsuko Imai and Gina Cuomo-Dannenburg and Hayley Thompson and Patrick G T Walker and Han Fu and Amy Dighe and Jamie T Griffin and Marc Baguelin and Sangeeta Bhatia and Adhiratha Boonyasiri and Anne Cori and Zulma Cucunubá and Rich FitzJohn and Katy Gaythorpe and Will Green and Arran Hamlet and Wes Hinsley and Daniel Laydon and Gemma Nedjati-Gilani and Steven Riley and Sabine van Elsland and Erik Volz and Haowei Wang and Yuanrong Wang and Xiaoyue Xi and Christl A Donnelly and Azra C Ghani and Neil M Ferguson,2020-03-10,2020-03-20,2020-03-30,11 days 00:00:00.000000000,{'United Kingdom'}
https://doi.org/10.1016/S1473-3099(20)30162-6,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301626,Joel R Koo and Alex R Cook and Minah Park and Yinxiaohe Sun and Haoyang Sun and Jue Tao Lim and Clarence Tam and Borame L Dickens,2020-02-02,2020-02-28,2020-03-23,27 days 00:00:00.000000000,"{'United Kingdom', 'Singapore'}"
https://doi.org/10.1016/S1473-3099(20)30295-4,COVID-19 and the coming epidemic in US immigration detention centres,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920302954,Jaimie P Meyer and Carlos Franco-Paredes and Parveen Parmar and Faiza Yasin and Matthew Gartland,2020-03-29,2020-04-03,2020-04-15,6 days 00:00:00.000000000,"{'Mexico', 'United States'}"
https://doi.org/10.1016/S1473-3099(20)30110-9,Initiation of a new infection control system for the COVID-19 outbreak,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301109,Xuejiao Chen and Junzhang Tian and Guanming Li and Guowei Li,2020-02-10,2020-02-12,2020-02-19,3 days 00:00:00.000000000,"{'Canada', 'China'}"
https://doi.org/10.1016/S1473-3099(20)30190-0,Scientific and ethical basis for social-distancing interventions against COVID-19,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301900,Joseph A Lewnard and Nathan C Lo,2020-03-06,2020-03-09,2020-03-23,4 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S1473-3099(20)30514-4,"Household studies provide key insights on the transmission of, and susceptibility to, SARS-CoV-2",The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920305144,Virginia E Pitzer and Ted Cohen,2020-06-03,2020-06-03,2020-06-17,1 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S1473-3099(20)30198-5,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301985,Haiyan Qiu and Junhua Wu and Liang Hong and Yunling Luo and Qifa Song and Dong Chen,2020-02-20,2020-03-10,2020-03-25,20 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S1473-3099(20)30174-2,SARS-CoV-2 RNA more readily detected in induced sputum than in throat swabs of convalescent COVID-19 patients,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301742,Huanqin Han and Qingfeng Luo and Fan Mo and Lieming Long and Weiqiang Zheng,2020-02-27,2020-03-05,2020-03-12,8 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S1473-3099(20)30457-6,"Effectiveness of isolation, testing, contact tracing, and physical distancing on reducing transmission of SARS-CoV-2 in different settings: a mathematical modelling study",The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920304576,Adam J Kucharski and Petra Klepac and Andrew J K Conlan and Stephen M Kissler and Maria L Tang and Hannah Fry and Julia R Gog and W John Edmunds and Jon C Emery and Graham Medley and James D Munday and Timothy W Russell and Quentin J Leclerc and Charlie Diamond and Simon R Procter and Amy Gimma and Fiona Yueqian Sun and Hamish P Gibbs and Alicia Rosello and Kevin van Zandvoort and Stéphane Hué and Sophie R Meakin and Arminder K Deol and Gwen Knight and Thibaut Jombart and Anna M Foss and Nikos I Bosse and Katherine E Atkins and Billy J Quilty and Rachel Lowe and Kiesha Prem and Stefan Flasche and Carl A B Pearson and Rein M G J Houben and Emily S Nightingale and Akira Endo and Damien C Tully and Yang Liu and Julian Villabona-Arenas and Kathleen O'Reilly and Sebastian Funk and Rosalind M Eggo and Mark Jit and Eleanor M Rees and Joel Hellewell and Samuel Clifford and Christopher I Jarvis and Sam Abbott and Megan Auzenbergs and Nicholas G Davies and David Simons,2020-04-23,2020-05-29,2020-06-15,37 days 00:00:00.000000000,"{'United Kingdom', 'United States'}"
https://doi.org/10.1016/S1473-3099(20)30134-1,COVID-19 pneumonia: what has CT taught us?,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301341,Elaine Y P Lee and Ming-Yen Ng and Pek-Lan Khong,2020-02-17,2020-02-17,2020-02-24,1 days 00:00:00.000000000,{'Hong Kong'}
https://doi.org/10.1016/S1473-3099(20)30428-X,COVID-19: when should quarantine be enforced?,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S147330992030428X,Chris T Bauch and Madhur Anand,2030-12-12,2030-12-12,2020-07-21,,"{'Pakistan', 'Saudi Arabia'}"
https://doi.org/10.1016/S1473-3099(20)30433-3,Assessment of patients who tested positive for COVID-19 after recovery,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920304333,Qi Mei and Jun Li and Ronghui Du and Xianglin Yuan and Ming Li and Jian Li,2020-04-08,2020-05-06,2020-07-06,29 days 00:00:00.000000000,"{'Germany', 'China'}"
https://doi.org/10.1016/S1473-3099(20)30158-4,Covert COVID-19 and false-positive dengue serology in Singapore,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301584,Gabriel Yan and Chun Kiat Lee and Lawrence T M Lam and Benedict Yan and Ying Xian Chua and Anita Y N Lim and Kee Fong Phang and Guan Sen Kew and Hazel Teng and Chin Hong Ngai and Li Lin and Rui Min Foo and Surinder Pada and Lee Ching Ng and Paul Anantharajah Tambyah,2020-02-23,2020-02-27,2020-03-04,5 days 00:00:00.000000000,{'Singapore'}
https://doi.org/10.1016/S1473-3099(20)30191-2,Management of pregnant women infected with COVID-19,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920301912,Yongwen Luo and Kai Yin,2020-03-14,2020-05-20,2020-07-08,68 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S1473-3099(20)30296-6,Chloroquine or hydroxychloroquine for prophylaxis of COVID-19,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920302966,Nicola Principi and Susanna Esposito,2030-12-12,2030-12-12,2020-05-05,,set()
https://doi.org/10.1016/S1473-3099(20)30446-1,COVID-19 and essential pregnant worker policies,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920304461,Elizabeth S McDonald,2020-05-06,2020-05-15,2020-06-02,10 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S1473-3099(20)30527-2,COVID-19 in health-care workers in three hospitals in the south of the Netherlands: a cross-sectional study,The Lancet Infectious Diseases,article,http://www.sciencedirect.com/science/article/pii/S1473309920305272,Reina S Sikkema and Suzan D Pas and David F Nieuwenhuijse and Áine O'Toole and Jaco Verweij and Anne van der Linden and Irina Chestakova and Claudia Schapendonk and Mark Pronk and Pascal Lexmond and Theo Bestebroer and Ronald J Overmars and Stefan van Nieuwkoop and Wouter van den Bijllaardt and Robbert G Bentvelsen and Miranda M L van Rijen and Anton G M Buiting and Anne J G van Oudheusden and Bram M Diederen and Anneke M C Bergmans and Annemiek van der Eijk and Richard Molenkamp and Andrew Rambaut and Aura Timen and Jan A J W Kluytmans and Bas B Oude Munnink and Marjolein F Q Kluytmans van den Bergh and Marion P G Koopmans,2020-04-28,2020-06-09,2020-07-02,43 days 00:00:00.000000000,"{'United Kingdom', 'Netherlands'}"
