DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/j.tmaid.2019.101504,"International mass gatherings and travel-associated illness: A GeoSentinel cross-sectional, observational study",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S147789391930208X,Philippe Gautret and Kristina M. Angelo and Hilmir Asgeirsson and Alexandre Duvignaud and Perry J.J. van Genderen and Emmanuel Bottieau and Lin H. Chen and Salim Parker and Bradley A. Connor and Elizabeth D. Barnett and Michael Libman and Davidson H. Hamer and Emilie Javelle and Marc Mendelson and Hedvig Glans and Eric Caumes and Poh Lian Lim and Jonathan Alpern and William Stauffer and Andrea Boggild and Kevin Kain and Karin Leder and Joseph Torresi and Katherine Plewes and Wayne Ghesquiere and Denis Malvy and Francois Chappuis and Giles Eperon and Sarah Borwein and Johnnie Yates and Brian Ward and Jesse Waggoner and Henry Wu and Israel Molina and Dan Bourque and Kunjana Mavunda and Mugen Ujiie and Satoshi Katsuna and Carsten Larsen and Christian Wejse and Noreen Hynes and Paul Kelly and Susan Kuhn and Cecilia Perret Perez and Thomas Weitzel and Sabine Jordan and Mauro Saio and Michael Beadsworth and Nicholas Beeching and Mogens Jensenius and Susan Anderson and Patricia Schlagenhauf and Rainer Weber,2019-09-11,2019-10-28,2019-11-09,48 days 00:00:00.000000000,"{'United States', 'Greece', 'Belgium', 'South Africa', 'Sweden', 'Netherlands', 'France'}"
https://doi.org/10.1016/j.tmaid.2020.101812,Hydroxychloroquine safety: A meta-analysis of randomized controlled trials,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920303082,Khalid Eljaaly and Kasim Huseein Alireza and Samah Alshehri and Jaffar A. Al-Tawfiq,2020-05-19,2020-06-25,2020-07-06,38 days 00:00:00.000000000,"{'United States', 'Saudi Arabia'}"
https://doi.org/10.1016/j.tmaid.2019.101509,Severe toxoplasmosis imported from tropical Africa in immunocompetent patients: A case series,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893919302133,Jordan Leroy and Sandrine Houzé and Marie-Laure Dardé and Hélène Yéra and Benjamin Rossi and Laurence Delhaes and Frédéric Gabriel and Paul Loubet and Anne-Sophie Deleplancque and Eric Senneville and Faïza Ajana and Boualem Sendid and Denis Malvy,2019-07-22,2019-10-31,2019-11-09,102 days 00:00:00.000000000,{'France'}
https://doi.org/10.1016/j.tmaid.2019.101498,"Siblings with typhoid fever: An investigation of intrafamilial transmission, clonality, and antibiotic susceptibility",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893919302017,Patrick M. Meyer Sauteur and Marc J.A. Stevens and Paolo Paioni and Daniel Wüthrich and Adrian Egli and Roger Stephan and Christoph Berger and Guido V. Bloemberg,2019-07-02,2019-09-28,2019-09-30,89 days 00:00:00.000000000,{'Switzerland'}
https://doi.org/10.1016/j.tmaid.2020.101624,Testing the repatriated for SARS-Cov2: Should laboratory-based quarantine replace traditional quarantine?,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920300922,Jean Christophe Lagier and Philippe Colson and Hervé Tissot Dupont and Jérôme Salomon and Barbara Doudier and Camille Aubry and Frédérique Gouriet and Sophie Baron and Pierre Dudouet and Rémi Flores and Lucie Ailhaud and Philippe Gautret and Philippe Parola and Bernard La Scola and Didier Raoult and Philippe Brouqui,2020-03-05,2020-03-12,2020-03-14,8 days 00:00:00.000000000,{'France'}
https://doi.org/10.1016/j.tmaid.2020.101690,"Chagas' heart disease: Descriptive analysis of 141 patients in a hospital of Madrid, Spain",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920301587,Irene Carrillo Acosta and Ramón Pérez-Tanoira and Laura Prieto-Pérez and Alfonso Cabello Úbeda and Beatriz Álvarez Álvarez and Patricia Atencio Antoranz and Manuel Fernández Guerrero and Ricardo Fernández Roblas and Miguel Orejas and Marta Tomás and Irune Cariñanos and Miguel Górgolas,,,2030-12-12,,
https://doi.org/10.1016/j.tmaid.2020.101804,Measles immunity gaps in an era of high vaccination coverage: A serology study from Taiwan,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920303008,Yi-Chen Lee and Yi-Hsuan Lee and Chia-Wen Lu and Shao-Yi Cheng and Kuen-Cheh Yang and Kuo-Chin Huang,,,2030-12-12,,
https://doi.org/10.1016/j.tmaid.2020.101816,"Potential transmission of SARS-CoV-2 on a flight from Singapore to Hanghzou, China: An epidemiological investigation",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920303124,Junfang Chen and Hanqing He and Wei Cheng and Yan Liu and Zhou Sun and Chengliang Chai and Qingxin Kong and Wanwan Sun and Jiaqi Zhang and Song Guo and Xuguang Shi and Jinna Wang and Enfu Chen and Zhiping Chen,2020-03-25,2020-06-29,2020-07-06,97 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.tmaid.2020.101706,Risk factors for different intestinal pathogens among patients with traveler's diarrhea: A retrospective analysis at a German travel clinic (2009–2017),Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920301745,Thomas Theo Brehm and Marc Lütgehetmann and Egbert Tannich and Marylyn M. Addo and Ansgar W. Lohse and Thierry Rolling and Christof D. Vinnemeier,,,2030-12-12,,
https://doi.org/10.1016/j.tmaid.2020.101654,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920301228,Ke-wei Wang and Jie Gao and Hua Wang and Xiao-long Wu and Qin-fang Yuan and Fei-yu Guo and Zhi-jie Zhang and Yang Cheng,2020-03-12,2020-03-27,2020-04-05,16 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/j.tmaid.2020.101575,"Coronavirus infections reported by ProMED, February 2000–January 2020",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920300259,D. Katterine Bonilla-Aldana and Yeimer Holguin-Rivera and Isabella Cortes-Bonilla and María C. Cardona-Trujillo and Alejandra García-Barco and Hugo A. Bedoya-Arias and Ali A. Rabaan and Ranjit Sah and Alfonso J. Rodriguez-Morales,2020-01-27,2020-02-04,2020-02-06,9 days 00:00:00.000000000,"{'Saudi Arabia', 'Colombia', 'Nepal'}"
https://doi.org/10.1016/j.tmaid.2020.101682,Impact of pre-departure preparation on the health and wellbeing of Australian gap year travellers,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920301502,Luis Furuya-Kanamori and Colleen L. Lau and Sarah Banks and Deborah J. Mills,2019-08-08,2020-04-17,2020-04-20,254 days 00:00:00.000000000,{'Australia'}
https://doi.org/10.1016/j.tmaid.2020.101551,"Blood-borne chronic viral infections in a large cohort of immigrants in southern Italy: A seven-centre, prospective, screening study",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920300016,Nicola Coppola and Caterina Monari and Loredana Alessio and Lorenzo Onorato and Luciano Gualdieri and Caterina Sagnelli and Carmine Minichini and Evangelista Sagnelli and Giovanni Di Caprio and Lorenzo Surace and Gaetano Scotto and Margherita Macera and Gianfranco Griffo and Italo Francesco Angelillo and Mariantonietta Pisaturo,,,2030-12-12,,
https://doi.org/10.1016/j.tmaid.2020.101748,Emerging Aedes-borne infections in southern Switzerland: Preparedness planning for surveillance and intervention,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920302271,Florence Fouque and Valeria Guidi and Mario Lazzaro and Damiana Ravasi and Gladys Martinetti-Lucchini and Giorgio Merlani and Mauro Tonolla and Eleonora Flacio,,,2030-12-12,,
https://doi.org/10.1016/j.tmaid.2019.101508,"Severe complications of imported schistosomiasis, Spain: A retrospective observational study",Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893919302121,Joaquín Salas-Coronas and José Vázquez-Villegas and Ana B. Lozano-Serrano and Manuel J. Soriano-Pérez and Isabel Cabeza-Barrera and María Teresa Cabezas-Fernández and Antonio Villarejo-Ordóñez and José Carlos Sánchez-Sánchez and José Ignacio Abad Vivas-Pérez and Salvador Vázquez-Blanc and Matilde Palanca-Giménez and José A. Cuenca-Gómez,2019-02-27,2019-10-31,2019-11-05,247 days 00:00:00.000000000,{'Spain'}
https://doi.org/10.1016/j.tmaid.2020.101811,Human toxicosis caused by the tick Ornithodoros spheniscus in a Chilean national park,Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893920303070,Sebastián Llanos-Soto and Sebastián Muñoz-Leal and José Luis Gatica and Carlos Misad and Daniel González-Acuña,,,2030-12-12,,
https://doi.org/10.1016/j.tmaid.2019.101521,Intestinal colonization with extended-spectrum beta-lactamase producing Enterobacterales (ESBL-PE) during long distance travel: A cohort study in a German travel clinic (2016–2017),Travel Medicine and Infectious Disease,article,http://www.sciencedirect.com/science/article/pii/S1477893919302248,Lynn Meurs and Felix S. Lempp and Norman Lippmann and Henning Trawinski and Arne C. Rodloff and Matthias Eckardt and Anja Klingeberg and Tim Eckmanns and Jan Walter and Christoph Lübbert and Muna Abu Sin and Esther-Maria Antão and Michael Behnke and Jutta Bleidorn and Evgeniya Boklage and Tim Eckmanns and Christina Forstner and Petra Gastmeier and Jochen Gensichen and Alexander Gropmann and Stefan Hagel and Regina Hanke and Wolfgang Hanke and Anja Klingeberg and Lukas Klimmek and Ulrich Kraft and Tobias Kramer and Markus Lehmkuhl and Norman Ludwig and Antina Lübke-Becker and Oliwia Makarewicz and Anne Moeser and Inga Petruschke and Mathias W. Pletz and Cornelius Remschmidt and Florian Salm and Katja Schmücker and Sandra Schneider and Christin Schröder and Frank Schwab and Joachim Trebbe and Szilvia Vincze and Horst C. Vollmar and Jan Walter and Sebastian Weis and Wibke Wetzker and Lothar H. Wieler,,,2030-12-12,,
