title,doi,venue,date_received,date_available,date_accepted
A-conceptual-model-for-the-coronavirus-disease-2019--_2020_International-Jou.txt,https://doi.org/10.1016/j.ijid.2020.02.058,International Journal of Infectious Diseases 93 (2020) 211–216, 31 January 2020,unknown, 27 February 2020
A-review-of-the-2019-Novel-Coronavirus--COVI_2020_International-Journal-of-A.txt,https://doi.org/10.1016/j.ijantimicag.2020.105948,International Journal of Antimicrobial Agents,unknown,unknown,unknown
An-updated-estimation-of-the-risk-of-transmission-of-_2020_Infectious-Diseas.txt,https://doi.org/10.1016/j.idm.2020.02.001,Infectious Disease Modelling 5 (2020) 248e255, 2 February 2020, 11 February 2020, 9 February 2020
Anesthetic-Management-of-Patients-With-Suspected-o_2020_Journal-of-Cardiotho.txt,https://doi.org/10.1053/j.jvca.2020.02.039,"ARTICLE IN PRESS
Journal of Cardiothoracic and Vascular Anesthesia 000 (2020) 17",unknown,unknown,unknown
Anti-HCV--nucleotide-inhibitors--repurposing-against-COVID_2020_Life-Science.txt,https://doi.org/10.1016/j.lfs.2020.117477,Life Sciences 248 (2020) 117477, 27 January 2020, 28 February 2020, 26 February 2020
Arbidol-combined-with-LPV-r-versus-LPV-r-alone-against-Coron_2020_Journal-of.txt,https://doi.org/10.1016/j.jinf.2020.03.002,ARTICLE IN PRESS,unknown,unknown, 6 March 2020
Asymptomatic-carrier-state--acute-respiratory-disease-_2020_Journal-of-Micro.txt,https://doi.org/10.1016/j.jmii.2020.02.012,+, 25 February 2020; accepted 25 February 2020,unknown, 25 February 2020
Asymptomatic-novel-coronavirus-pneumonia-patient-outside-Wuhan_2020_Clinical.txt,https://doi.org/10.1016/j.clinimag.2020.02.008,Clinical Imaging 63 (2020) 7–9, 13 February 2020,unknown, 20 February 2020
building resilience against biological hazards.txt,unknown,Progress in Disaster Science 6 (2020) 100080, 20 March 2020, 24 March 2020, 23 March 2020
Can-we-contain-the-COVID-19-outbreak-with-the-same_2020_The-Lancet-Infectiou.txt,https://doi.org/10.1016/,Personal View,unknown,unknown,unknown
Cardiovascular-Considerations-for-Patients--Health-Ca_2020_Journal-of-the-Am.txt,https://doi.org/10.1016/j.jacc.2020.03.031,Journal of the American College of Cardiology,unknown,unknown,unknown
Characteristics-of-COVID-19-infection-in-Beijing_2020_Journal-of-Infection.txt,https://doi.org/10.1016/j.jinf.2020.02.018,Journal of Infection 80 (2020) 401–406,unknown, 27 February 2020, 21 February 2020
Chinese-experts--consensus-on-the-Internet-of-Things-aided-dia_2020_Clinical.txt,https://doi.org/10.1016/j.ceh.2020.03.001,Clinical eHealth 3 (2020) 7–15, 28 February 2020, 17 March 2020,unknown
Clinical characteristics and intrauterine.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Clinical characteristics of severe acute respiratory.txt,https://doi.org/10.1016/j.jinf.2020.03.001,ARTICLE IN PRESS,unknown,unknown, 5 March 2020
Clinical--laboratory-and-imaging-features-of-COVID_2020_Travel-Medicine-and-.txt,https://doi.org/10.1016/j.tmaid.2020.101623,Travel Medicine and Infectious Disease xxx (xxxx) xxxx, 29 February 2020,unknown, 11 March 2020
Clinical-and-computed-tomographic-imaging-features-of-novel_2020_Journal-of-.txt,https://doi.org/10.1016/j.jinf.2020.02.017,Journal of Infection 80 (2020) 394–400,unknown, 25 February 2020, 21 February 2020
Clinical-and-CT-imaging-features-of-the-COVID-19-pneumonia_2020_Journal-of-I.txt,https://doi.org/10.1016/j.jinf.2020.03.007,ARTICLE IN PRESS,unknown,unknown, 2 March 2020
Clinical-characteristics-and-imaging-manifestations-of-the-201_2020_Journal-.txt,https://doi.org/10.1016/j.jinf.2020.02.016,Journal of Infection 80 (2020) 388–393,unknown, 26 February 2020, 21 February 2020
Clinical-course-and-risk-factors-for-mortality-of-adult-inpatient_2020_The-L.txt,https://doi.org/10.1016/S0140-6736(20)30566-3,Articles,unknown,unknown,unknown
